archive,path,sha256,bytes,source,role
tkde_visual_manuscript_package.zip,ARCHIVE_MANIFEST.csv,312179a36c36672247031652a1031def4c1c3c330af9c8b51522979378509c06,31175,scripts/tkde_visual_rebuild/build_visual_release.py,archive_manifest
tkde_visual_manuscript_package.zip,paper_tkde/README_BUILD.md,e5fa357f23fd049233076f272abafbde34774658d7486419643068d13cb4bbec,1700,paper_tkde/README_BUILD.md,build_instructions
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig01_deployment_contract.pdf,01306009141066f7389f068793319b8d7d20d7bef5bb3ed36f69f35776bdcc13,26131,paper_tkde/figures/fig01_deployment_contract.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig01_deployment_contract.png,ff2570c55a983788c1e70c2383d33f69f186bdea682e723507e44e3f07a91345,72484,paper_tkde/figures/fig01_deployment_contract.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig02_protocol_architecture_effects.pdf,7ceae607d33d1335938856c26a5feecf8fca8bf14ead081ee1905fc0fcedb4b8,16325,paper_tkde/figures/fig02_protocol_architecture_effects.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig02_protocol_architecture_effects.png,33075f58bbd94de499c46ec1563459eed39677bc9e265c86db5313b862eea6fb,131035,paper_tkde/figures/fig02_protocol_architecture_effects.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig03_ibm_metric_scale_construction.pdf,1689d162b1c716e65b246a393249e26a5348bf92c0017b1a8f79ae54ac299482,17634,paper_tkde/figures/fig03_ibm_metric_scale_construction.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig03_ibm_metric_scale_construction.png,6e81fe57cb84855ab3897da8350dbe200f3b829132e6de70926a835fcec7c7d5,68989,paper_tkde/figures/fig03_ibm_metric_scale_construction.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig04_rank_decision_divergence.pdf,39e70089cc947dede863cf1f148ae3283500d2aebf77b6d8b321b5a43469f5a0,28987,paper_tkde/figures/fig04_rank_decision_divergence.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig04_rank_decision_divergence.png,b10a0e8fb5059e88ab9b05b751b708edfb8432107240c5dd8c8e575b519da7ab,128560,paper_tkde/figures/fig04_rank_decision_divergence.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig05_matched_ablation_effects.pdf,0cdbd83e47dfac03570f081afa6bff1fc0654cfb8c1351f7fb717b02764bc2f7,31063,paper_tkde/figures/fig05_matched_ablation_effects.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig05_matched_ablation_effects.png,9bad0be7c558f9a345cd40d2efe3fa75a94cd1f0c34cedb1803f1422e7dceb34,142771,paper_tkde/figures/fig05_matched_ablation_effects.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig06_runtime_resource_pareto.pdf,91c6e90a5ace7263023b37f9e1c660be649c7702d93e7ebba9f8e5fec5562c55,27910,paper_tkde/figures/fig06_runtime_resource_pareto.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig06_runtime_resource_pareto.png,43318700c803d92de45ca2ba748c7153f4f552c1b5039f68109d0005934cb019,202496,paper_tkde/figures/fig06_runtime_resource_pareto.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig07_review_budget_analysis.pdf,6a53931b1cae422c479fd8ebfc85ca9bdec3ce1a89f144cdd32b0ff7e28f676c,21124,paper_tkde/figures/fig07_review_budget_analysis.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig07_review_budget_analysis.png,f9ab0986de7840ddb3a6d458edec14a9aa15f833662875deca22251d11645c40,277759,paper_tkde/figures/fig07_review_budget_analysis.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig08_claim_support_validation.pdf,819506ea3177ecaa8eeb8b45248d206c2af8fd144764d8241f64d209d5b48abe,14509,paper_tkde/figures/fig08_claim_support_validation.pdf,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/figures/fig08_claim_support_validation.png,66b87c4ed255465bdc90c9f22244c29bc1502d75ba63c6c98b8686bdd9ae1011,97446,paper_tkde/figures/fig08_claim_support_validation.png,active_figure
tkde_visual_manuscript_package.zip,paper_tkde/main.pdf,2e28c7a08f4762cfebef085d7ccd5c76ad86866eba753fc8e7a0b107910e97e7,444276,paper_tkde/main.pdf,rendered_main_pdf
tkde_visual_manuscript_package.zip,paper_tkde/main.tex,9490a4c0b1d60ec8ba1d1de2ffbfe0a21e9235b4e88b63846baaeb517e6d156e,1449,paper_tkde/main.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/references.bib,f4c8f2e8625a77981f5180c0ee996115461707850ef6445e61a856df33b5da34,15373,paper_tkde/references.bib,verified_bibliography
tkde_visual_manuscript_package.zip,paper_tkde/sections/01_abstract.tex,56124273912e251cbb2cf4b7b357f5c33003891d2b9b8249450a8d0d88f76dcf,2112,paper_tkde/sections/01_abstract.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/02_introduction.tex,aa9a07507a56f382187ff5f1814ff01755059f5809337368c057e63ad52647e5,5856,paper_tkde/sections/02_introduction.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/03_related_work.tex,ec27af6cb89903db99a45d4acde63a0576529c43c0cea0e23589104d7c1b1be7,7184,paper_tkde/sections/03_related_work.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/04_deployment_claim_contracts.tex,388cf0bd968c8a2aafddbb587fcb64982dada8e378da97f1a5efd305d021e503,6856,paper_tkde/sections/04_deployment_claim_contracts.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/05_benchmark_instantiation.tex,6db1638ae8065d698d34b6dd079a29d8c2eddb2297d57d697a36f46db1ad29a0,6427,paper_tkde/sections/05_benchmark_instantiation.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/06_experimental_design.tex,f99e0ea01f840da4e17ad616913dc92a49b0ba85d9b9cc8d6ea62cdab7eb910a,6970,paper_tkde/sections/06_experimental_design.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/07_results_protocol_architecture.tex,0d953c5ed78a4a752799c4219ba9008160f88e66def706a5ab79467c54c836d9,2663,paper_tkde/sections/07_results_protocol_architecture.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/08_results_construction_decisions.tex,e1039283f7ba70edd3db13eda296c29615131789fed2317bd4e18fa6f83321cf,6457,paper_tkde/sections/08_results_construction_decisions.tex,active_manuscript_source
tkde_visual_manuscript_package.zip,paper_tkde/sections/09_framework_validation_graphsafe.tex,3e59e2fafc2589528b67f991b7d9c2bdc1f6a3e692c395c95affc1ec10cf5ca3,4596,paper_tkde/sections/09_framework_validation_graphsafe.tex,active_manuscript_source
