dataset,protocol,model,seed,n_stress_labels,stress_labels,all_performance_metrics_identical,runtime_values_identical,runner_passes_stress_to_harness,scientific_status,source
dgraphfin,inductive_isolated,gcn,1,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,2,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,3,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,4,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,5,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,6,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,7,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,8,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,9,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24
dgraphfin,inductive_isolated,gcn,10,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,1,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,2,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,3,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,4,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,5,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,6,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,7,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,8,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,9,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24
dgraphfin,inductive_isolated,mlp,10,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24
dgraphfin,inductive_isolated,sage,1,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
dgraphfin,inductive_isolated,sage,2,3,early_to_late_transfer;late_window_holdout;rolling_window_stress,True,False,False,DUPLICATE_METADATA_LABELS_NOT_DISTINCT_CONDITIONS,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24
