number_id,manuscript_use,artifact,row_key,field,value,units,source_files,aggregation_script,filters,seed_set,aggregation,output_location,evidence_lock,claim_ids
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_edge_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",edge_feature_dim,0,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_message_passing_arcs,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",message_passing_arcs,7994520,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_node_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",node_feature_dim,17,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_nodes_or_accounts,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",nodes_or_accounts,3700550,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_source_edges_or_transactions,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",source_edges_or_transactions,4300999,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_test_positive_rate,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",test_positive_rate,0.010945495778669502,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_test_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",test_positives,1863,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_test_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",test_units,170207,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_total_labeled,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",total_labeled,1225601,proportion/score,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_total_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",total_positives,15509,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
