evidence_id,family,dataset,dataset_variant,data_status,prediction_unit,class_definition_and_mapping,temporal_range_or_window,graph_construction,graph_visibility,protocol,model_or_configuration,seed_set,n_seeds,metrics,provenance_level,result_source,prediction_export,prediction_manifest,statistical_pairing_key,hardware_or_resource_envelope,validation_status,validation_source,evidence_lock_status,evidence_lock,claim_gate_status,claim_gate,eligibility,notes
RB09::dgraphfin::inductive_isolated::gcn,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::inductive_isolated::mlp,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::inductive_isolated::sage,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::strict_inductive::gcn,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::strict_inductive::mlp,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::strict_inductive::sage,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::transductive::gcn,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::transductive::mlp,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::dgraphfin::transductive::sage,core strict/isolated/transductive benchmark,dgraphfin,canonical,real anonymized financial user graph,account/node,"raw normal 0->licit 2, fraud 1->fraud 1, background 2/3->unknown 0; unknown excluded; positive=fraud (1)","20 incident-edge timestamp buckets; train t1-14, validation t15-16, test t17-20; split id t1-14_val15-16_test17-20",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=dgraphfin|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::inductive_isolated::gcn,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
