category,cite_key,title,authors,venue,year,doi_or_arxiv,official_url,publication_status,relevance,differentiation,verification_status
graph fraud and AML,weber2019aml,Anti-Money Laundering in Bitcoin: Experimenting with Graph Convolutional Networks for Financial Forensics,Mark Weber; Giacomo Domeniconi; Jie Chen; Daniel Karl I. Weidele; Claudio Bellei; Tom Robinson; Charles E. Leiserson,KDD 2019 Workshop on Anomaly Detection in Finance; arXiv,2019,arXiv:1908.02591,https://arxiv.org/abs/1908.02591,workshop/preprint,Elliptic source and original graph-fraud baseline study.,"No multi-axis deployment contract, paired visibility study, review budget, or claim support relation.",VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,liu2020graphconsis,Alleviating the Inconsistency Problem of Applying Graph Neural Network to Fraud Detection,Zhiwei Liu; Yingtong Dou; Philip S. Yu; Yutong Deng; Hao Peng,SIGIR,2020,10.1145/3397271.3401253,https://doi.org/10.1145/3397271.3401253,peer reviewed,"GraphConsis addresses context, feature, and relation inconsistency.",Detector contribution; does not benchmark temporal visibility or claim scope.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,dou2020caregnn,Enhancing Graph Neural Network-based Fraud Detectors against Camouflaged Fraudsters,Yingtong Dou; Zhiwei Liu; Li Sun; Yutong Deng; Hao Peng; Philip S. Yu,CIKM,2020,10.1145/3340531.3411903,https://doi.org/10.1145/3340531.3411903,peer reviewed,CARE-GNN treats feature and relation camouflage.,Model-centered evaluation rather than a deployment benchmark.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,liu2021pcgnn,Pick and Choose: A GNN-based Imbalanced Learning Approach for Fraud Detection,Yang Liu; Xiang Ao; Zidi Qin; Jianfeng Chi; Jinghua Feng; Hao Yang; Qing He,The Web Conference,2021,10.1145/3442381.3449989,https://doi.org/10.1145/3442381.3449989,peer reviewed,PC-GNN addresses imbalance and neighborhood sampling.,Does not compare graph-visibility contracts or rank-versus-decision conclusions.,VERIFIED_PRIMARY_OR_OFFICIAL
graph anomaly benchmarks,tang2022bwgnn,Rethinking Graph Neural Networks for Anomaly Detection,Jianheng Tang; Jiajin Li; Ziqi Gao; Jia Li,ICML,2022,PMLR 162,https://proceedings.mlr.press/v162/tang22b.html,peer reviewed,BWGNN is an anomaly-specific spectral graph model.,Static/model contribution; no fraud deployment contract.,VERIFIED_PRIMARY_OR_OFFICIAL
datasets and benchmarks,huang2022dgraph,DGraph: A Large-Scale Financial Dataset for Graph Anomaly Detection,Xuanwen Huang; Yang Yang; Yang Wang; Chunping Wang; Zhisheng Zhang; Jiarong Xu; Lei Chen; Michalis Vazirgiannis,NeurIPS Datasets and Benchmarks,2022,10.52202/068431-1654,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8f1918f71972789db39ec0d85bb31110-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Canonical real financial graph and DGraphFin source.,Introduces data and baselines; does not vary deployment-contract axes.,VERIFIED_PRIMARY_OR_OFFICIAL
graph anomaly benchmarks,tang2023gadbench,GADBench: Revisiting and Benchmarking Supervised Graph Anomaly Detection,Jianheng Tang; Fengrui Hua; Ziqi Gao; Peilin Zhao; Jia Li,NeurIPS Datasets and Benchmarks,2023,10.52202/075280-1289,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5eaafd67434a4cfb1cf829722c65f184-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Broad supervised graph anomaly benchmark and evidence for strong tree baselines.,"Predominantly static; no temporal visibility, review capacity, or executable claim support.",VERIFIED_PRIMARY_OR_OFFICIAL
datasets and benchmarks,altman2023ibmaml,Realistic Synthetic Financial Transactions for Anti-Money Laundering Models,Erik Altman; Jovan Blanuša; Luc von Niederhäusern; Béni Egressy; Andreea Anghel; Kubilay Atasu,NeurIPS Datasets and Benchmarks,2023,10.52202/075280-1300,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5f38404edff6f3f642d6fa5892479c42-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Canonical IBM AML-Data generator and variant source.,Dataset generation work; does not establish graph-construction or claim-evidence governance.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,egressy2024directed,Provably Powerful Graph Neural Networks for Directed Multigraphs,Béni Egressy; Luc von Niederhäusern; Jovan Blanuša; Erik Altman; Roger Wattenhofer; Kubilay Atasu,AAAI,2024,10.1609/aaai.v38i10.29069,https://ojs.aaai.org/index.php/AAAI/article/view/29069,peer reviewed,Directed-multigraph expressiveness for financial crime graphs.,Model expressiveness rather than evaluation-contract completeness.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,wu2023grande,GRANDE: a neural model over directed multigraphs with application to anti-money laundering,Ruofan Wu; Boqun Ma; Hong Jin; Wenlong Zhao; Weiqiang Wang; Tianyi Zhang,arXiv,2023,arXiv:2302.02101,https://arxiv.org/abs/2302.02101,preprint,Directed multigraph edge-classification model for AML.,No verified peer-reviewed version; not a deployment benchmark.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,lin2024fraudgt,"FraudGT: A Simple, Effective, and Efficient Graph Transformer for Financial Fraud Detection",Junhong Lin; Xiaojie Guo; Yada Zhu; Samuel Mitchell; Erik Altman; Julian Shun,ICAIF,2024,10.1145/3677052.3698648,https://research.ibm.com/publications/fraudgt-a-simple-effective-and-efficient-graph-transformer-for-financial-fraud-detection,peer reviewed,Financial graph-transformer model emphasizing effectiveness and throughput.,Model comparison; does not define temporal visibility or evidence support.,VERIFIED_PRIMARY_OR_OFFICIAL
graph fraud and AML,blanusa2024gfp,Graph Feature Preprocessor: Real-time Subgraph-based Feature Extraction for Financial Crime Detection,Jovan Blanuša; Maximo Cravero Baraja; Andreea Anghel; Luc von Niederhäusern; Erik Altman; Haris Pozidis; Kubilay Atasu,ICAIF,2024,10.1145/3677052.3698674,https://authors.library.caltech.edu/records/vav4g-hxz75,peer reviewed,Graph-derived features with boosted trees and throughput analysis.,Supports strong tabular baselines and resource analysis; lacks claim-support formalism.,VERIFIED_PRIMARY_OR_OFFICIAL
dynamic anomaly benchmarks,hua2026bag,BAG: Benchmarking Anomaly Detection on Dynamic Graphs,Fengrui Hua; Yiyan Qi; Zikai Wei; Yuxing Tian; Chengjin Xu; Xiaojun Wu; Jia Li; Jian Guo,AAAI,2026,10.1609/aaai.v40i17.38510,https://ojs.aaai.org/index.php/AAAI/article/view/38510,peer reviewed,Closest peer-reviewed dynamic graph anomaly benchmark.,"Precludes a first-dynamic-benchmark claim; does not combine fraud-specific visibility, review budgets, and claim support.",VERIFIED_PRIMARY_OR_OFFICIAL
dynamic anomaly benchmarks,zhou2026wild,GAD in the Wild: Benchmarking Graph Anomaly Detection under Realistic Deployment Challenges,Jingjing Zhou; Shiyu Huang; Qing Qing; Zuquan Yuan; Huafei Huang; Ziqi Xu; Mingliang Hou; Xikun Zhang; Renqiang Luo; Ivan Lee,arXiv,2026,arXiv:2605.07133,https://arxiv.org/abs/2605.07133,preprint,"Deployment-oriented graph anomaly benchmark covering scale, rarity, and missing attributes.","Closest positioning threat; named challenges differ from temporal visibility, decision capacity, and support relations.",VERIFIED_PRIMARY_OR_OFFICIAL
fraud surveys,pourhabibi2020survey,Fraud Detection: A Systematic Literature Review of Graph-Based Anomaly Detection Approaches,Tahereh Pourhabibi; Kok-Leong Ong; Booi H. Kam; Yee Ling Boo,Decision Support Systems,2020,10.1016/j.dss.2020.113303,https://doi.org/10.1016/j.dss.2020.113303,peer reviewed,Domain taxonomy and credibility challenges for graph-based fraud detection.,Survey rather than executable benchmark.,VERIFIED_PRIMARY_OR_OFFICIAL
temporal graph benchmarks,hu2020ogb,Open Graph Benchmark: Datasets for Machine Learning on Graphs,Weihua Hu; Matthias Fey; Marinka Zitnik; Yuxiao Dong; Hongyu Ren; Bowen Liu; Michele Catasta; Jure Leskovec,NeurIPS,2020,official proceedings,https://proceedings.neurips.cc/paper/2020/hash/fb60d411a5c5b72b2e7d3527cfc84fd0-Abstract.html,peer reviewed,"Standardized datasets, splits, metrics, and scalable evaluation.",Broad and mostly static; no fraud-specific contract or support relation.,VERIFIED_PRIMARY_OR_OFFICIAL
temporal graph benchmarks,poursafaei2022better,Towards Better Evaluation for Dynamic Link Prediction,Farimah Poursafaei; Shenyang Huang; Kellin Pelrine; Reihaneh Rabbany,NeurIPS Datasets and Benchmarks,2022,10.52202/068431-2386,https://papers.neurips.cc/paper_files/paper/2022/hash/d49042a5d49818711c401d34172f9900-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Shows temporal evaluation choices can inflate results and alter rankings.,Link prediction rather than extreme-imbalance fraud screening.,VERIFIED_PRIMARY_OR_OFFICIAL
temporal graph benchmarks,huang2023tgb,Temporal Graph Benchmark for Machine Learning on Temporal Graphs,Shenyang Huang; Farimah Poursafaei; Jacob Danovitch; Matthias Fey; Weihua Hu; Emanuele Rossi; Jure Leskovec; Michael Bronstein; Guillaume Rabusseau; Reihaneh Rabbany,NeurIPS Datasets and Benchmarks,2023,10.52202/075280-0099,https://proceedings.neurips.cc/paper_files/paper/2023/hash/066b98e63313162f6562b35962671288-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Standardizes large temporal tasks and realistic protocols.,"Does not cover fraud graph construction, review capacity, or scoped evidence completeness.",VERIFIED_PRIMARY_OR_OFFICIAL
temporal graph benchmarks,gastinger2024tgb2,TGB 2.0: A Benchmark for Learning on Temporal Knowledge Graphs and Heterogeneous Graphs,Julia Gastinger; Shenyang Huang; Mikhail Galkin; Erfan Loghmani; Ali Parviz; Farimah Poursafaei; Jacob Danovitch; Emanuele Rossi; Ioannis Koutis; Heiner Stuckenschmidt; Reihaneh Rabbany; Guillaume Rabusseau,NeurIPS Datasets and Benchmarks,2024,10.52202/079017-4450,https://proceedings.neurips.cc/paper_files/paper/2024/hash/fda026cf2423a01fcbcf1e1e43ee9a50-Abstract-Datasets_and_Benchmarks_Track.html,peer reviewed,Extends temporal evaluation to heterogeneous and knowledge graphs and reports scale failures.,Resource visibility itself is not novel; status semantics and claim handling remain differentiators.,VERIFIED_PRIMARY_OR_OFFICIAL
temporal graph benchmarks,huang2024benchtemp,BenchTemp: A General Benchmark for Evaluating Temporal Graph Neural Networks,Qiang Huang; Xin Wang; Susie Xi Rao; Zhichao Han; Zitao Zhang; Yongjun He; Quanqing Xu; Yang Zhao; Zhigao Zheng; Jiawei Jiang,ICDE,2024,10.1109/ICDE60146.2024.00310,https://arxiv.org/abs/2308.16385,peer reviewed,"Unifies temporal datasets, training, inductive/transductive evaluation, and efficiency.",Precludes a broad first-protocol-aware benchmark claim.,VERIFIED_PRIMARY_OR_OFFICIAL
distribution shift,gui2022good,GOOD: A Graph Out-of-Distribution Benchmark,Shurui Gui; Xiner Li; Limei Wang; Shuiwang Ji,NeurIPS Datasets and Benchmarks,2022,10.52202/068431-0150,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0dc91de822b71c66a7f54fa121d8cbb9-Abstract-Datasets_and_Benchmarks.html,peer reviewed,Separates covariate and concept shift on graph and node tasks.,Controlled OOD domains differ from temporal graph availability and operational budgets.,VERIFIED_PRIMARY_OR_OFFICIAL
evaluation validity,cawley2010selection,On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,Gavin C. Cawley; Nicola L. C. Talbot,Journal of Machine Learning Research,2010,JMLR 11,https://jmlr.org/beta/papers/v11/cawley10a.html,peer reviewed,Foundational separation of model selection and final evaluation.,Motivates selection cleanliness but does not instantiate a fraud benchmark.,VERIFIED_PRIMARY_OR_OFFICIAL
evaluation validity,kaufman2012leakage,"Leakage in Data Mining: Formulation, Detection, and Avoidance",Shachar Kaufman; Saharon Rosset; Claudia Perlich; Ori Stitelman,ACM Transactions on Knowledge Discovery from Data,2012,10.1145/2382577.2382579,https://doi.org/10.1145/2382577.2382579,peer reviewed,Formalizes leakage as use of information unavailable at legitimate prediction time.,Does not operationalize a multi-axis temporal fraud contract.,VERIFIED_PRIMARY_OR_OFFICIAL
evaluation validity,kapoor2023leakage,Leakage and the Reproducibility Crisis in Machine-Learning-Based Science,Sayash Kapoor; Arvind Narayanan,Patterns,2023,10.1016/j.patter.2023.100804,https://doi.org/10.1016/j.patter.2023.100804,peer reviewed,Leakage taxonomy and reproducibility guidance.,"Governance guidance, not a run-level claim-evidence validator.",VERIFIED_PRIMARY_OR_OFFICIAL
evaluation validity,gorman2019splits,We Need to Talk about Standard Splits,Kyle Gorman; Steven Bedrick,ACL,2019,10.18653/v1/P19-1267,https://aclanthology.org/P19-1267/,peer reviewed,Demonstrates ranking sensitivity to data splits.,Not graph- or fraud-specific and does not define deployment estimands.,VERIFIED_PRIMARY_OR_OFFICIAL
documentation and governance,bender2018data,Data Statements for Natural Language Processing,Emily M. Bender; Batya Friedman,Transactions of the Association for Computational Linguistics,2018,10.1162/tacl_a_00041,https://doi.org/10.1162/tacl_a_00041,peer reviewed,Links documented data scope to defensible generalization.,Descriptive documentation rather than executable evidence completeness.,VERIFIED_PRIMARY_OR_OFFICIAL
documentation and governance,mitchell2019modelcards,Model Cards for Model Reporting,Margaret Mitchell; Simone Wu; Andrew Zaldivar; Parker Barnes; Lucy Vasserman; Ben Hutchinson; Elena Spitzer; Inioluwa Deborah Raji; Timnit Gebru,FAT*,2019,10.1145/3287560.3287596,https://doi.org/10.1145/3287560.3287596,peer reviewed,Documents intended use and disaggregated performance.,Does not define completeness conditions for a scoped empirical claim.,VERIFIED_PRIMARY_OR_OFFICIAL
documentation and governance,gebru2021datasheets,Datasheets for Datasets,Timnit Gebru; Jamie Morgenstern; Briana Vecchione; Jennifer Wortman Vaughan; Hanna Wallach; Hal Daumé III; Kate Crawford,Communications of the ACM,2021,10.1145/3458723,https://doi.org/10.1145/3458723,peer reviewed,"Dataset motivation, composition, collection, and use documentation.","Dataset cards are prior art, not the benchmark's novelty.",VERIFIED_PRIMARY_OR_OFFICIAL
documentation and governance,pushkarna2022datacards,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,Mahima Pushkarna; Andrew Zaldivar; Oddur Kjartansson,FAccT,2022,10.1145/3531146.3533231,https://doi.org/10.1145/3531146.3533231,peer reviewed,Stakeholder- and lifecycle-aware dataset documentation.,"Descriptive, not a claim-to-evidence support relation.",VERIFIED_PRIMARY_OR_OFFICIAL
construct validity,jacobs2021measurement,Measurement and Fairness,Abigail Z. Jacobs; Hanna Wallach,FAccT,2021,10.1145/3442188.3445901,https://doi.org/10.1145/3442188.3445901,peer reviewed,Construct reliability and validity for sociotechnical measurement.,Provides language for metric validity; no fraud benchmark implementation.,VERIFIED_PRIMARY_OR_OFFICIAL
benchmark governance,dehghani2021lottery,The Benchmark Lottery,Mostafa Dehghani; Yi Tay; Alexey A. Gritsenko; Zhe Zhao; Neil Houlsby; Fernando Diaz; Donald Metzler; Oriol Vinyals,arXiv/OpenReview,2021,arXiv:2107.07002,https://arxiv.org/abs/2107.07002,preprint,Argues that benchmark and task choices alter perceived model superiority.,Conceptual precedent; no executable evidence support.,VERIFIED_PRIMARY_OR_OFFICIAL
benchmark governance,reuel2024betterbench,"BetterBench: Assessing AI Benchmarks, Uncovering Issues, and Establishing Best Practices",Anka Reuel; Amelia Hardy; Chandler Smith; Max Lamparth; Malcolm Hardy; Mykel J. Kochenderfer,NeurIPS Datasets and Benchmarks,2024,10.52202/079017-0685,https://proceedings.neurips.cc/paper_files/paper/2024/hash/26889e8359e7ef8a7f5d77457364ca55-Abstract-Datasets_and_Benchmarks_Track.html,peer reviewed,Benchmark lifecycle quality assessment and best practices.,"Evaluates benchmark quality, not support for a particular scoped result claim.",VERIFIED_PRIMARY_OR_OFFICIAL
