table_id,table_file,source_data_csv,upstream_evidence,generation_script,filters_and_pairing,seed_set,intended_use
T01,paper_tkde/tables/table01_related_work.tex,results/tkde_rebuild/table_data/table01_related_work.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Novelty comparison from verified literature matrix,1-10 where empirical,main
T02,paper_tkde/tables/table02_dataset_tasks.tex,results/tkde_rebuild/table_data/table02_dataset_tasks.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Dataset/task statistics and prevalence,1-10 where empirical,main
T03,paper_tkde/tables/table03_model_constructions.tex,results/tkde_rebuild/table_data/table03_model_constructions.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Model/construction inventory,1-10 where empirical,main
T04,paper_tkde/tables/table04_rb09_protocol_effects.tex,results/tkde_rebuild/table_data/table04_rb09_protocol_effects.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Paired strict-versus-isolated AUPRC effects,1-10 where empirical,main
T05,paper_tkde/tables/table05_ibm_results.tex,results/tkde_rebuild/table_data/table05_ibm_results.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,IBM baseline and graph-grid actual values,1-10 where empirical,main
T06,paper_tkde/tables/table06_resource_boundaries.tex,results/tkde_rebuild/table_data/table06_resource_boundaries.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Resource boundary semantics,1-10 where empirical,main
T07,paper_tkde/tables/table07_graphsafe_case.tex,results/tkde_rebuild/table_data/table07_graphsafe_case.csv,results/tkde_rebuild analysis CSVs; exact scalar sources in NUMBER_PROVENANCE_MAP.csv,scripts/tkde_rebuild/build_tables.py,Bounded saved-output case study,1-10 where empirical,main
S01,paper_tkde/supplement/tables/table_s01_dataset_cards.tex,DATASET_TASK_STATISTICS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S02,paper_tkde/supplement/tables/table_s02_protocols.tex,PROTOCOL_DEFINITIONS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S03,paper_tkde/supplement/tables/table_s03_models.tex,MODEL_CONSTRUCTION_INVENTORY.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
