dataset,model,metric,n_pairs,strict_mean,strict_std,strict_ci95_low,strict_ci95_high,isolated_mean,isolated_std,isolated_ci95_low,isolated_ci95_high,delta_isolated_minus_strict,delta_ci95_low,delta_ci95_high,relative_delta_pct,cohen_dz,wilcoxon_p,source,holm_p_within_metric
dgraphfin,gcn,auprc,10,0.011640000000000001,0.0022232108911811915,0.010369749999999999,0.01297,0.01183,0.0033806804048889336,0.009949999999999999,0.01389,0.0001899999999999999,-0.0013400000000000005,0.0019099999999999998,1.6323024054982807,0.06884529954024331,1.0,results/runs_rb09v3/runs.csv,1.0
dgraphfin,gcn,auroc,10,0.53049,0.06330607220304998,0.4931295,0.5673405,0.52091,0.10917700663499516,0.45623875,0.5832215000000001,-0.009579999999999995,-0.052690499999999994,0.03227075000000001,-1.8058775848743605,-0.1308597512936891,1.0,results/runs_rb09v3/runs.csv,1.0
dgraphfin,gcn,f1,10,0.01642,0.012390211190021474,0.009170000000000001,0.02382,0.017,0.014346660470878462,0.008799999999999999,0.025320249999999996,0.0005799999999999992,-0.0026600000000000013,0.003860249999999996,3.532277710109618,0.10477821951287715,0.65234375,results/runs_rb09v3/runs.csv,1.0
dgraphfin,mlp,auprc,10,0.013980000000000003,0.006304636741672309,0.01038,0.01766,0.013980000000000003,0.006304636741672309,0.010280000000000001,0.0177,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
dgraphfin,mlp,auroc,10,0.52554,0.17687090207266995,0.41875249999999997,0.6255305,0.52554,0.17687090207266995,0.421418,0.6262599999999999,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
dgraphfin,mlp,f1,10,0.023579999999999997,0.01918024446605876,0.0122795,0.03473025,0.023579999999999997,0.01918024446605876,0.0124,0.03516,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
dgraphfin,sage,auprc,10,0.022699999999999998,0.005843134622976115,0.01879,0.025470000000000003,0.01781,0.0037128754954138237,0.015349749999999999,0.019399999999999997,-0.00489,-0.0064,-0.0033100000000000004,-21.541850220264323,-1.877239611200653,0.00390625,results/runs_rb09v3/runs.csv,0.015625
dgraphfin,sage,auroc,10,0.6868799999999999,0.12650478076165958,0.6059597499999999,0.72906,0.6578900000000001,0.11691349556165209,0.5823495000000001,0.69982025,-0.028989999999999988,-0.03921049999999998,-0.01955925,-4.2205334265082675,-1.7484068634337497,0.001953125,results/runs_rb09v3/runs.csv,0.01171875
dgraphfin,sage,f1,10,0.04764,0.01749871106364377,0.03578,0.05532,0.03486,0.013400099502118136,0.02569,0.04117024999999999,-0.01278,-0.01821,-0.00754,-26.826196473551637,-1.3912909364307724,0.00390625,results/runs_rb09v3/runs.csv,0.01953125
elliptic,gcn,auprc,10,0.46664000000000005,0.02461657977867763,0.4524500000000001,0.48132025,0.5604600000000001,0.027909783230974754,0.54324925,0.57556,0.09381999999999999,0.07897974999999997,0.10818024999999998,20.105434596262636,3.7651849014912204,0.001953125,results/runs_rb09v3/runs.csv,0.01171875
elliptic,gcn,auroc,10,0.8722799999999999,0.003610109262735511,0.8700800000000001,0.8743599999999999,0.87002,0.0074354705447753746,0.8651,0.87377,-0.0022600000000000064,-0.007690249999999986,0.0019499999999999852,-0.2590911175310688,-0.2702194771275188,1.0,results/runs_rb09v3/runs.csv,1.0
elliptic,gcn,f1,10,0.49932,0.01478225663121538,0.4908095,0.5083099999999999,0.52759,0.03175337077469974,0.50882875,0.5459117499999999,0.028269999999999997,0.01059974999999998,0.04238050000000003,5.661699911880156,1.0238870636538462,0.01953125,results/runs_rb09v3/runs.csv,0.078125
elliptic,mlp,auprc,10,0.45215999999999995,0.03209029621413786,0.43383975,0.4714605000000001,0.45215999999999995,0.03209029621413786,0.43407,0.47101999999999994,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
elliptic,mlp,auroc,10,0.8745800000000001,0.004588342717026354,0.8719899999999999,0.87737025,0.8745800000000001,0.004588342717026354,0.87198,0.8773199999999999,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
elliptic,mlp,f1,10,0.47719000000000006,0.013709400667668386,0.46920975000000004,0.48547075,0.47719000000000006,0.013709400667668386,0.46935975,0.48548,0.0,0.0,0.0,0.0,0.0,1.0,results/runs_rb09v3/runs.csv,1.0
elliptic,sage,auprc,10,0.61139,0.030532330769566584,0.59276725,0.6280112499999999,0.47969,0.04111216229887316,0.45477950000000006,0.5032102500000001,-0.1317,-0.14221,-0.12114000000000003,-21.54107852598178,-7.397268229382476,0.001953125,results/runs_rb09v3/runs.csv,0.01171875
elliptic,sage,auroc,10,0.88744,0.005847734604100988,0.88399975,0.8908099999999999,0.86737,0.007577165990292448,0.8630600000000002,0.8718302500000001,-0.020069999999999998,-0.021719999999999982,-0.018159749999999978,-2.2615613449923373,-6.6017117620727594,0.001953125,results/runs_rb09v3/runs.csv,0.01171875
elliptic,sage,f1,10,0.5847,0.014317277829407529,0.57629975,0.59312025,0.53461,0.024580455198750427,0.5194789999999999,0.5483499999999999,-0.05009000000000001,-0.05890025000000001,-0.04140000000000003,-8.566786386180949,-3.2980850766166343,0.001953125,results/runs_rb09v3/runs.csv,0.01171875
