family,variant,protocol,n_configurations,auprc_winner,auroc_winner,f1_winner,auprc_f1_winner_disagree,auroc_auprc_winner_disagree,spearman_auprc_vs_f1,spearman_auprc_vs_f1_p,spearman_auroc_vs_auprc,spearman_auroc_vs_auprc_p
baseline_grid,hi-medium,early_to_late_transfer,3,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,-0.5,0.6666666666666667
baseline_grid,hi-medium,late_window_holdout,3,hist_gradient_boosting_edge_features,hist_gradient_boosting_edge_features,logistic_regression_edge_features,True,False,-1.0,0.0,0.5,0.6666666666666667
baseline_grid,hi-small,early_to_late_transfer,3,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667
baseline_grid,hi-small,late_window_holdout,3,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667
baseline_grid,li-medium,early_to_late_transfer,3,hist_gradient_boosting_edge_features,graphsage_edge_minibatch_h32,graphsage_edge_minibatch_h32,True,True,-0.5,0.6666666666666667,0.5,0.6666666666666667
baseline_grid,li-medium,late_window_holdout,3,hist_gradient_boosting_edge_features,graphsage_edge_minibatch_h32,graphsage_edge_minibatch_h32,True,True,-0.5,0.6666666666666667,0.5,0.6666666666666667
baseline_grid,li-small,early_to_late_transfer,3,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667
baseline_grid,li-small,late_window_holdout,3,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667
graph_grid,hi-medium,early_to_late_transfer,6,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.48571428571428577,0.3287230320699709,-0.08571428571428573,0.8717434402332361
graph_grid,hi-medium,late_window_holdout,6,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.7714285714285715,0.07239650145772594,-0.2571428571428572,0.6227871720116618
graph_grid,hi-small,early_to_late_transfer,7,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.8571428571428573,0.013697326615325611,0.7857142857142859,0.03623846267982714
graph_grid,hi-small,late_window_holdout,7,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.7857142857142859,0.03623846267982714,0.6785714285714287,0.0937502539598313
graph_grid,li-medium,early_to_late_transfer,6,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.08571428571428573,0.8717434402332361,0.5428571428571429,0.26570262390670557
graph_grid,li-medium,late_window_holdout,6,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.028571428571428574,0.9571545189504373,0.08571428571428573,0.8717434402332361
graph_grid,li-small,early_to_late_transfer,7,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.6071428571428572,0.1482311614811614,0.7857142857142859,0.03623846267982714
graph_grid,li-small,late_window_holdout,7,gine_light_h64,edge_aware_graphsage_h64,degree_capped_bipartite,True,True,0.5714285714285715,0.1802019889115274,0.7142857142857144,0.0713435614675376
