family,variant,protocol,config,auprc,auroc,f1,auprc_rank,auroc_rank,f1_rank
baseline_grid,hi-medium,early_to_late_transfer,graphsage_edge_minibatch_h32,0.024843520583587683,0.8818313457136522,0.020786287460669788,2.0,3.0,2.0
baseline_grid,hi-medium,early_to_late_transfer,hist_gradient_boosting_edge_features,0.08898457290212702,0.9023202696355405,0.1195693985549462,1.0,2.0,1.0
baseline_grid,hi-medium,early_to_late_transfer,logistic_regression_edge_features,0.01393036709039858,0.9126714767010471,0.017959441021018357,3.0,1.0,3.0
baseline_grid,hi-medium,late_window_holdout,graphsage_edge_minibatch_h32,0.03712042574696394,0.907628034495113,0.017114905126951584,2.0,3.0,2.0
baseline_grid,hi-medium,late_window_holdout,hist_gradient_boosting_edge_features,0.16928090765175946,0.936934612243196,0.005486322833121283,1.0,1.0,3.0
baseline_grid,hi-medium,late_window_holdout,logistic_regression_edge_features,0.015724064819841413,0.916557566471002,0.02009779880265791,3.0,2.0,1.0
baseline_grid,hi-small,early_to_late_transfer,graphsage_edge_minibatch_h32,0.0038394563411477214,0.7166268849766898,0.009369998432236203,3.0,3.0,3.0
baseline_grid,hi-small,early_to_late_transfer,hist_gradient_boosting_edge_features,0.06574455260696116,0.9002810153303148,0.05053586001502734,1.0,2.0,1.0
baseline_grid,hi-small,early_to_late_transfer,logistic_regression_edge_features,0.014388143729677273,0.9138199058907628,0.016631526873108045,2.0,1.0,2.0
baseline_grid,hi-small,late_window_holdout,graphsage_edge_minibatch_h32,0.007105360337291343,0.7475885745273234,0.012643063350607636,3.0,3.0,3.0
baseline_grid,hi-small,late_window_holdout,hist_gradient_boosting_edge_features,0.09642022671574507,0.9136926432159133,0.06709716013805742,1.0,2.0,1.0
baseline_grid,hi-small,late_window_holdout,logistic_regression_edge_features,0.01725606417521412,0.9228935689370257,0.020404142398010073,2.0,1.0,2.0
baseline_grid,li-medium,early_to_late_transfer,graphsage_edge_minibatch_h32,0.006928088678526132,0.8722254082387311,0.005081596110596007,2.0,1.0,1.0
baseline_grid,li-medium,early_to_late_transfer,hist_gradient_boosting_edge_features,0.014250164598059578,0.8476997936356121,0.0003636128328555804,1.0,2.0,3.0
baseline_grid,li-medium,early_to_late_transfer,logistic_regression_edge_features,0.003701587822850125,0.8361154768153993,0.004501672721690354,3.0,3.0,2.0
baseline_grid,li-medium,late_window_holdout,graphsage_edge_minibatch_h32,0.00783272224056902,0.8904050645741248,0.004799031978638724,2.0,1.0,1.0
baseline_grid,li-medium,late_window_holdout,hist_gradient_boosting_edge_features,0.029697389293275818,0.8581988907801733,0.0001576358718660688,1.0,2.0,3.0
baseline_grid,li-medium,late_window_holdout,logistic_regression_edge_features,0.004027295694120296,0.8425372641263371,0.004776225865841551,3.0,3.0,2.0
baseline_grid,li-small,early_to_late_transfer,graphsage_edge_minibatch_h32,0.0021434205432870473,0.7797924818794824,0.004646271383456966,3.0,3.0,3.0
baseline_grid,li-small,early_to_late_transfer,hist_gradient_boosting_edge_features,0.012576157164486217,0.8361207898510663,0.009383441562401233,1.0,2.0,1.0
baseline_grid,li-small,early_to_late_transfer,logistic_regression_edge_features,0.003917078848165412,0.8433197709816929,0.00466238223654257,2.0,1.0,2.0
baseline_grid,li-small,late_window_holdout,graphsage_edge_minibatch_h32,0.0021930009637934696,0.7877820314119602,0.004415896926647199,3.0,3.0,3.0
baseline_grid,li-small,late_window_holdout,hist_gradient_boosting_edge_features,0.017077622520785343,0.8407703888455815,0.01995409910219618,1.0,2.0,1.0
baseline_grid,li-small,late_window_holdout,logistic_regression_edge_features,0.004048826344092091,0.8501785418234548,0.004753127722159801,2.0,1.0,2.0
graph_grid,hi-medium,early_to_late_transfer,degree_capped_bipartite,0.01186231462229582,0.8758815555137905,0.019511676116201842,6.0,3.0,1.0
graph_grid,hi-medium,early_to_late_transfer,edge_aware_graphsage_h64,0.0424178391918162,0.9169858698766646,0.01102126085037156,1.0,2.0,3.0
graph_grid,hi-medium,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,0.025244660304020138,0.8039721471699807,0.010216597047350858,2.0,4.0,4.0
graph_grid,hi-medium,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,0.024467459279979852,0.8019835844180705,0.009420532221493855,3.0,5.0,6.0
graph_grid,hi-medium,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,0.023876005680675154,0.794308772739213,0.009677900671466585,4.0,6.0,5.0
graph_grid,hi-medium,early_to_late_transfer,recent_window_only_graph,0.018662956425788583,0.93387614933042,0.01912717076382216,5.0,1.0,2.0
graph_grid,hi-medium,late_window_holdout,degree_capped_bipartite,0.01274030065388097,0.8803473803758077,0.022147536316367487,6.0,3.0,1.0
graph_grid,hi-medium,late_window_holdout,edge_aware_graphsage_h64,0.04998250783027349,0.921189740755193,0.012684024766500815,1.0,2.0,6.0
graph_grid,hi-medium,late_window_holdout,edge_aware_graphsage_h64_degree_only,0.03261943951062075,0.8042081175368665,0.01809157437023579,2.0,6.0,3.0
graph_grid,hi-medium,late_window_holdout,edge_aware_graphsage_h64_no_edge_features,0.029889165615244427,0.8101852321028081,0.014790370530860648,3.0,4.0,4.0
graph_grid,hi-medium,late_window_holdout,edge_aware_graphsage_h64_shuffled_edge_features,0.029700382353250215,0.8060223849081861,0.013515610421931112,4.0,5.0,5.0
