artifact_type,path,sha256_before,sha256_after,identical,command_exit
canonical_input,results/runs_rb09v3/runs.csv,d9f77bfd14ccaf157780858e35ecfee96af1e2fbf60f3559ad888d14c0ace2e9,d9f77bfd14ccaf157780858e35ecfee96af1e2fbf60f3559ad888d14c0ace2e9,True,0
canonical_input,results/runs_rb09v3/ARTIFACT_FAMILY.json,174cd35fac5d6d10dd37657b3814d9cae576ee1f2c1dab2bea70fcfe25390603,174cd35fac5d6d10dd37657b3814d9cae576ee1f2c1dab2bea70fcfe25390603,True,0
canonical_input,kaggle_workspace/manifests/V22_FINAL_GPU_EVIDENCE_LOCK.json,f63010e09a5f1303972fc01183e991d415d0f5d95b721bd03a1b6cce257e1d60,f63010e09a5f1303972fc01183e991d415d0f5d95b721bd03a1b6cce257e1d60,True,0
canonical_input,results/v24_imported/V24_IMPORTED_EVIDENCE_LOCK.json,fdafe03d002dc078bb690a8f4965cca27781aa49dd916b6e03f68bb3d7893ca8,fdafe03d002dc078bb690a8f4965cca27781aa49dd916b6e03f68bb3d7893ca8,True,0
canonical_input,results/v26_imported/V26_IMPORTED_EVIDENCE_LOCK.json,f16ecd3b22dc35eaaf7dadfbb7ccfc508ccf52ab05d4c01894b9da2e78cd0dc1,f16ecd3b22dc35eaaf7dadfbb7ccfc508ccf52ab05d4c01894b9da2e78cd0dc1,True,0
canonical_input,results/v27_imported/V27_STRONGER_GRAPH_EVIDENCE_LOCK.json,910dc7c1cef558ed9b107eec6fa868fdc932b804bb0204b0e98aff306ca5ed23,910dc7c1cef558ed9b107eec6fa868fdc932b804bb0204b0e98aff306ca5ed23,True,0
canonical_input,results/v28_imported/V28_ALL_RUNS_EVIDENCE_LOCK.json,3cd7204770ba25905def6381c39c0bce873130ecca74f280240d9d3aecc4be10,3cd7204770ba25905def6381c39c0bce873130ecca74f280240d9d3aecc4be10,True,0
canonical_input,results/runs_rb17_review_budget_worst_block/rb17_results.csv,f6486d8198bcdae1373b0fe286f94abca70a1ca4e32fb7cb81baf01f65d91404,f6486d8198bcdae1373b0fe286f94abca70a1ca4e32fb7cb81baf01f65d91404,True,0
generated_analysis,results/tkde_rebuild/CLAIM_EVIDENCE_LEDGER.csv,677c367f71969714448e0fb3768a90cf78f884773779e713195bc26792b0bd53,677c367f71969714448e0fb3768a90cf78f884773779e713195bc26792b0bd53,True,0
generated_analysis,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,cce3333207b3a50903d4763844c9c006bc20d9c1963a159bf5c8b50c135e2682,cce3333207b3a50903d4763844c9c006bc20d9c1963a159bf5c8b50c135e2682,True,0
generated_analysis,results/tkde_rebuild/DEPLOYMENT_CONTRACT_AXES.csv,ebbb3e4d34a2259486cab3b2471b265a8031dfba7baa2c0a16e2dac9bfd20ac2,ebbb3e4d34a2259486cab3b2471b265a8031dfba7baa2c0a16e2dac9bfd20ac2,True,0
generated_analysis,results/tkde_rebuild/EVIDENCE_INVENTORY.csv,3e6d218baead53f68d3c3f712518261ab0e9633b75e03cf25ed7e4dbb3bb0776,3e6d218baead53f68d3c3f712518261ab0e9633b75e03cf25ed7e4dbb3bb0776,True,0
generated_analysis,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,118a4592315c4994b9403bdb1bf32cc66698527f721fc9c3be0a4aa5799c02ef,118a4592315c4994b9403bdb1bf32cc66698527f721fc9c3be0a4aa5799c02ef,True,0
generated_analysis,results/tkde_rebuild/GRAPHSAFE_BOUNDED_SUMMARY.csv,013caecc0a39f1207cbab101fda7f9d80602311aa39cffb825a7abb05ab707a0,013caecc0a39f1207cbab101fda7f9d80602311aa39cffb825a7abb05ab707a0,True,0
generated_analysis,results/tkde_rebuild/GRAPHSAFE_CALIBRATION_SUMMARY.csv,3486c9ffe59e7cd288db1cee5754ae1eb55c17652fc2c40d10d37e6f6526f0b8,3486c9ffe59e7cd288db1cee5754ae1eb55c17652fc2c40d10d37e6f6526f0b8,True,0
generated_analysis,results/tkde_rebuild/GRAPHSAFE_PAIRED_VS_SIMPLE_AVERAGE.csv,95bc556adbdbb67f0d7a4ffb298a2ccf42b2f4ab98edb608b0995491ec3d10a7,95bc556adbdbb67f0d7a4ffb298a2ccf42b2f4ab98edb608b0995491ec3d10a7,True,0
generated_analysis,results/tkde_rebuild/IBM_CELL_SUMMARY.csv,dcc2a34929052f9f73ba97f50ee769b41e6f8cdc94554d36ab42a9cb2875e761,dcc2a34929052f9f73ba97f50ee769b41e6f8cdc94554d36ab42a9cb2875e761,True,0
generated_analysis,results/tkde_rebuild/IBM_IMPORTED_SEED_ROWS.csv,dae5d51178b9a746946c9fc05bf31e74840b6663d69031597ef2be45d5e766b6,dae5d51178b9a746946c9fc05bf31e74840b6663d69031597ef2be45d5e766b6,True,0
generated_analysis,results/tkde_rebuild/IBM_MATCHED_ABLATION_CONTEXT_EFFECTS.csv,626f0e014a0b8d339fe344bb736d513ed63a6ec435be6104acad1f53f7bbe202,626f0e014a0b8d339fe344bb736d513ed63a6ec435be6104acad1f53f7bbe202,True,0
generated_analysis,results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv,610bba2d4cb9fbea9c584fb4a99ce606f848898a850630c4a82595d1c4878bdf,610bba2d4cb9fbea9c584fb4a99ce606f848898a850630c4a82595d1c4878bdf,True,0
generated_analysis,results/tkde_rebuild/IBM_METRIC_RANKS.csv,98b74122c1a67a316cc148191d431e4aa07a8c9ca6ca80e1828897db4171a396,98b74122c1a67a316cc148191d431e4aa07a8c9ca6ca80e1828897db4171a396,True,0
generated_analysis,results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv,800f71ee63a153837a0ea2b5377e15051fb4d856013fb3cdf51c42461acbf3dc,800f71ee63a153837a0ea2b5377e15051fb4d856013fb3cdf51c42461acbf3dc,True,0
generated_analysis,results/tkde_rebuild/IBM_RUNTIME_FEASIBILITY.csv,a49107f2e466883b05289ea6c6e970e3da42d690dddcc50fe0da3e087f188fa3,a49107f2e466883b05289ea6c6e970e3da42d690dddcc50fe0da3e087f188fa3,True,0
generated_analysis,results/tkde_rebuild/LITERATURE_MATRIX.csv,cbe220e596ff4d84c26101d3cf1b06b8700186cdf68feef15dae4aa58fea1483,cbe220e596ff4d84c26101d3cf1b06b8700186cdf68feef15dae4aa58fea1483,True,0
generated_analysis,results/tkde_rebuild/MANUSCRIPT_MACHINE_AUDIT.csv,481bcab732de8e452adcdd879c2c2c9097a5478d49cab45e2ec8e2b0eaa4d971,481bcab732de8e452adcdd879c2c2c9097a5478d49cab45e2ec8e2b0eaa4d971,True,0
generated_analysis,results/tkde_rebuild/MODEL_CONSTRUCTION_INVENTORY.csv,8607250e0e0d92a41048c43811ce8dd2bc62783bdd19f01f0dedee498cc61949,8607250e0e0d92a41048c43811ce8dd2bc62783bdd19f01f0dedee498cc61949,True,0
generated_analysis,results/tkde_rebuild/NOVELTY_DIFFERENTIATION_TABLE.csv,8e8ba346751cd75a47d01f69e6e332c4e99a6a74a623ce1b793d4d0476c87f1d,8e8ba346751cd75a47d01f69e6e332c4e99a6a74a623ce1b793d4d0476c87f1d,True,0
generated_analysis,results/tkde_rebuild/PROTOCOL_DEFINITIONS.csv,8be510c0fe9c80994f9907a15708e016fc42c6e082ac84264c1491ea9a457757,8be510c0fe9c80994f9907a15708e016fc42c6e082ac84264c1491ea9a457757,True,0
