run_id,dataset,contract,held_out_composition,expert_set,baseline,seed,budget,resource_mask,routing_mode,objective_ablation,encoder_ablation,diagnostic_ablation,synthetic_mechanism,graph_ood_adapter,expected_device,expected_runtime,expected_memory,expected_output,dependency,priority,claim_supported
run-5e245c7504beb03f653b0ddb,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,coregraph,1,declared_by_scenario,all_experts_available,hierarchical,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,PILOT_MUST_RUN,L4-H1;L4-H2;L4-H3;L4-H4;L4-H6
run-a1e6cb02a2faeb598258b1a7,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,uniform_average,1,declared_by_scenario,all_experts_available,fixed,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,PILOT_MUST_RUN,L4-H1
run-2e7464b98240f024fff3b7d5,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,best_fixed_expert,1,declared_by_scenario,all_experts_available,fixed,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,PILOT_MUST_RUN,L4-H1
run-c3412d4948609573de40b1a6,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,source_logistic_gate,1,declared_by_scenario,all_experts_available,instance,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,PILOT_MUST_RUN,L4-H2
run-0a5d61958b8c6b221d0d967d,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,source_mlp_gate,1,declared_by_scenario,all_experts_available,instance,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,FULL_MUST_RUN,L4-H2
run-cb35f73873a561657ec46675,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,contract_router,1,declared_by_scenario,all_experts_available,contract,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,FULL_MUST_RUN,L4-H3
run-9bdcd010e1664d64b3d859f7,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,instance_router,1,declared_by_scenario,all_experts_available,instance,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,FULL_MUST_RUN,L4-H3
run-c85550c82f1af57ba949f4c6,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,resource_aware_heuristic,1,declared_by_scenario,all_experts_available,contract,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,STRONG_RECOMMENDED,L4-H5
run-88a245ee5f5bd9d77df2b3bd,elliptic,scenario-0234a7202fed52f7dba3db45,strict_inductive,feature_mlp;gcn;graphsage,cheapest_feasible_expert,1,declared_by_scenario,all_experts_available,fixed,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,DIAGNOSTIC,L4-H5
run-9c031ab555fa82c10539e879,elliptic,scenario-cc539dcaf41c71bdfc9dc73b,strict_inductive,feature_mlp;gcn;graphsage,coregraph,2,declared_by_scenario,all_experts_available,hierarchical,none,none,none,NOT_APPLICABLE,NOT_APPLICABLE,CPU_SAVED_OUTPUT_PILOT,UNKNOWN_UNTIL_PILOT,BLOCKED_RESOURCE_UNMEASURED,run_manifest+predictions+resource_record+validation,CANONICAL_SAVED_OUTPUTS,PILOT_MUST_RUN,L4-H1;L4-H2;L4-H3;L4-H4;L4-H6
