issue_id,path,severity,scientific_consequence,frozen_evidence_affected,required_fix,test_required,status
CG-P0-001,models/protocol_mitigation.py,P0,AUPRC threshold selection actually optimises F1 and can misstate the selection rule,No,Implement metric-specific V2 threshold policies and reject ranking metrics,Threshold fixture where F1 and ranking behaviour diverge,CONFIRMED
CG-P0-002,fraudshiftbench/result_analysis.py,P0,Independent Holm threshold comparisons can reject hypotheses after the first step-down failure,No,Implement adjusted p-values and rejection decisions with monotone step-down logic,Parity with statsmodels including early failure ties and unsorted inputs,CONFIRMED
CG-P0-003,fraudshiftbench/result_analysis.py,P0,Linear regression of labels on logits is not a calibration slope/intercept,No,Fit a binomial logistic calibration model on log odds,Known logistic calibration fixture and degenerate-input handling,CONFIRMED
CG-P0-004,fraudshiftbench/result_analysis.py,P0,Tied scores receive arbitrary distinct ranks and can change mixtures and rankings,No,Use average ranks and a declared deterministic top-K tie policy,Tied-score parity with scipy and deterministic selection,CONFIRMED
CG-P0-005,experiments/_multi_harness.py,P0,Inductive checkpoint validation can aggregate test-period structure,Potentially historical only; frozen outputs remain unchanged,Construct separate fold-specific train validation and target GraphViews,Sentinel test rejects test nodes or future edges in validation,CONFIRMED
CG-P0-006,experiments/_multi_harness.py,P0,Patience counts validation checks rather than epochs and default stopping is effectively delayed,Potentially historical only; frozen outputs remain unchanged,Define explicit checked-step patience and deterministic minimum-delta semantics,One-epoch and non-improving early-stop fixtures,CONFIRMED
CG-P0-007,experiments/_multi_harness.py,P0,Filename-only resume can silently reuse stale or incomplete runs,No,Use canonical config code and dataset hashes plus schema and prediction checksum validation,Changed-config stale result and crash recovery tests,CONFIRMED
CG-P0-008,data/datasets/dgraphfin.py,P0,Median incident-event node time uses future lifecycle events,Historical DGraphFin semantics only; frozen outputs remain unchanged,Add V2 first-observation event-task and historical aggregation timing contracts,Future incident event cannot change deployment time,CONFIRMED
CG-P0-009,data/datasets/dgraphfin.py,P0,Direction edge types and timestamps are discarded for new evidence,Historical loader only; frozen outputs remain unchanged,Preserve all edge semantics and let construction contract transform them,Round-trip directed typed timed edge fixture,CONFIRMED
CG-P0-010,data/datasets/tfinance.py,P0,Edge-order pseudo-time can be used for temporal claims,Historical loader only; frozen outputs remain unchanged,Require genuine timestamps whenever temporal_claim is true,Missing-timestamp temporal load fails loudly,CONFIRMED
CG-P0-011,models/registry.py;models/modern_gnn.py;models/temporal_gnn.py,P0,Simplified implementations and aliases can be mistaken for official methods,No,Attach official-status metadata warnings and remove official-looking headline promotion,Registry asserts diagnostic status and warning,CONFIRMED
CG-P0-012,models/modern_gnn.py;experiments/_multi_harness.py,P0,Full-graph transformer and GPS execution is infeasible at large-graph scale,No,Add sampling mini-batching memory estimates and hard guards,Guard rejects infeasible dense execution before allocation,CONFIRMED
CG-P0-013,data/datasets/base.py,P0,Node-centric schema cannot represent edge and transaction prediction units without ambiguity,No,Create task-general adapters batches identifiers metrics and budget units,Node edge and transaction ID and budget tests,CONFIRMED
CG-P0-014,fraudshiftbench/protocols.py;fraudshiftbench/evidence.py;fraudshiftbench/claims.py,P0,Reusable API is weaker than the formal contract and support relation in the paper,No,Build typed six-axis DeploymentContract EvidenceUnitV2 TypedClaim and SupportEngine,Round-trip mutation scope pairing and status tests,CONFIRMED
CG-P0-015,models/graphsafe_v2.py;models/graph_feature_gating.py,P0,Legacy GraphSafe and two-branch gating are insufficient method novelty,No,Keep as bounded baselines and implement distinct CoReGraph routing system,Method identity and baseline separation tests,CONFIRMED
CG-P0-016,repository metadata,P0,Named public repository leaks identity for anonymous submission,No,Build history-free identity-scanned anonymous packager,Smoke package contains no identity path URL or Git history,CONFIRMED
CG-P0-017,LICENSE_REVIEW_REQUIRED.md,P0,Unresolved project licence blocks a claim of fully cleared public reuse,No,Audit each component and retain explicit review-required status,Licence gate cannot pass without documented basis,CONFIRMED
CG-P0-018,models/graph_harm_detector.py,P0,Some diagnostics require labels but can be confused with label-free router inputs,No,Register diagnostic metadata including label and target-access requirements,Router rejects label-requiring target diagnostics,CONFIRMED
CG-P0-019,models/rolling_validation.py,P0,Ordered windows do not guarantee structure-safe fold graph views,No,Bind temporal folds to GraphView construction and leakage audits,Future-edge and target-node fold tests,CONFIRMED
CG-P0-020,models/temporal_calibration.py,P0,Target prior estimation risks label-derived adaptation if reused without typed access controls,No,Gate all target adaptation by access regime and provenance,Target-label prior sentinel test,CONFIRMED
CG-P1-021,data/datasets/ellipticpp.py,P1,Schema or address occurrence joins can silently expand or drop records,No,Add explicit schema uniqueness join-rate and memory-aware validation,Malformed and zero-match fixtures,CONFIRMED
CG-P1-022,project-wide,P1,No official baseline pins licences or parity gates exist,No,Create honest external baseline registry adapters and acquisition tooling,Adapter status cannot promote pending code,CONFIRMED
CG-P1-023,project-wide,P1,No held-out compositional contract evaluation prevents target-ID memorisation,No,Implement axis-aware split families and atomic-ID safeguards,Observed-axis unseen-combination split tests,CONFIRMED
CG-P1-024,project-wide,P1,No resource-aware feasible oracle or unavailable-expert masking exists,No,Implement availability masks feasible regret and compute objectives,Unavailable expert zero weight and oracle tests,CONFIRMED
CG-P1-025,project-wide,P1,No frozen pre-run analysis family specification exists for future runs,No,Create hashable analysis plan and multiplicity families,Freeze refuses ambiguous or pending family schema,CONFIRMED
