dataset,task,protocol_id,expert_id,expert_prediction_seed,fold,status,recovery_status,reason_codes,base_coordinate_id,base_artifact_hash,prediction_path,prediction_checksum,contract_coordinate_hash,config_sha256,code_provenance_type,routing_cost_provenance
dgraphfin,node_classification,isolated_inductive,feature_mlp,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,675638befa2d945be57bc01fb298623ad278449f8a5343a23d7a623d0d04652a,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,67336dcaa82c7029c86a3c94d6b4908ff38db51574da609b41e8b3aa30534d72,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,e375af8b19798adc731f5c9aa462d9a3c50957e0d731036ac29f1c84ca1af9fe,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,db3fd0a87d762d29536659033e5f7513ec1e9322508833a7e5d9a456e25b2a25,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,e4c6cbc7bee75edd8fa43c93a103644002e2a6d3f9e4b785bb7729d236d5a59f,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,757e88ee61b20d96ec7d16efd96a6d512ae6baab0d48d4ef6f6da516f07a50ef,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,7,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,3ad42754e59f2d60175def7386ea20bbe6dc6be614e07da53e9faa4a1911321a,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,8,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,b5fc3f6aec88ab25e47ab0a78e06b2ad3554e6af829288c7d8ceb4d71d5e1093,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,9,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,9b49543f519d6cfd9c2014da22d81dae40805a3dbcd828832e03bd49edcfd580,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,feature_mlp,10,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,b61264bc90609377cc258b2dc1fcc3443d9b0b818c25e4542445e28bb33d92fe,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
