issue_id,severity,affected_surface,reproducing_test,required_repair,scientific_consequence,status
SR-01,CRITICAL,"BaselinePrediction and pilot evaluation","tests/coregraph/test_second_review_pilot_semantics.py","Preserve the frozen source-selected abstention decision and provenance; make zero coverage undefined and costly.","Recomputing a 0.5 decision or rewarding zero coverage changes the fitted method and can create false wins.",REPAIRED_LOCAL_GATE_PASS
SR-02,CRITICAL,"Composite objective, pilot regret, theory and paper","tests/coregraph/test_second_review_pilot_semantics.py","Use one best feasible expert per contract for headline regret; retain instance oracle only as a diagnostic ceiling.","An instance-wise clairvoyant oracle is not a deployable contract-level comparator and changes headline regret.",REPAIRED_LOCAL_GATE_PASS
SR-03,CRITICAL,"Review-budget objective and source fitting","tests/coregraph/test_second_review_pilot_semantics.py","Apply each source contract's review budget independently and fail closed on unsupported mixed modes.","A pooled K or first-contract budget leaks and misweights heterogeneous source contracts.",REPAIRED_LOCAL_GATE_PASS
SR-04,CRITICAL,"Abstention calibration and inference","tests/coregraph/test_second_review_pilot_semantics.py","Fit from source capacities only and apply target operational capacity after parameters are frozen.","Letting target capacity affect source fitting changes learned parameters using held-out deployment metadata.",REPAIRED_LOCAL_GATE_PASS
SR-05,CRITICAL,"Availability and ranking evaluation","tests/coregraph/test_second_review_pilot_semantics.py","Declare method-contract execution state and exclude unavailable/resource-blocked sentinels from ranking metrics.","Sentinel scores can receive valid-looking AUPRC or Recall@K despite no executable prediction.",REPAIRED_LOCAL_GATE_PASS
SR-06,HIGH,"GraphSafe comparator","tests/coregraph/test_second_review_pilot_semantics.py","Rename the partial adapter to graphsafe_confidence_abstention_component and exclude full-GraphSafe claims.","A confidence-only component is not parity with the complete GraphSafe policy.",REPAIRED_LOCAL_GATE_PASS
SR-07,HIGH,"MOWST-inspired comparator","tests/coregraph/test_second_review_pilot_semantics.py","Select the confidence threshold on balanced source validation with availability masks and freeze provenance.","A fixed target threshold is target-unfitted and does not represent a trained routing baseline.",REPAIRED_LOCAL_GATE_PASS
SR-08,CRITICAL,"Result provenance and seed semantics","tests/coregraph/test_second_review_gate_semantics.py","Separate expert-prediction seed from deterministic method-specific router-training seed; infer only over expert seed.","Conflated or replicated router seeds create pseudoreplication.",REPAIRED_LOCAL_GATE_PASS
SR-09,CRITICAL,"Pilot completeness gate","tests/coregraph/test_second_review_gate_semantics.py","Require Elliptic and DGraphFin, seeds 1-10, every target contract, method, ablation and primary metric with exact pairing.","Partial datasets, seeds or target cells cannot support the predeclared pilot.",REPAIRED_LOCAL_GATE_PASS
SR-10,CRITICAL,"Ablation gate","tests/coregraph/test_second_review_gate_semantics.py","Compute corrected paired seed-block effects and require meaningful contributions from specified components.","Row existence does not show that a component contributes to performance.",REPAIRED_LOCAL_GATE_PASS
SR-11,CRITICAL,"Go/no-go inference","tests/coregraph/test_second_review_gate_semantics.py","Make corrected robust evidence, effect thresholds, two-dataset support, harm limits, diversity/stability and label-freedom decisive.","A gate disconnected from statistical evidence can pass unsupported claims.",REPAIRED_LOCAL_GATE_PASS
SR-12,CRITICAL,"Worst-case aggregation","tests/coregraph/test_second_review_gate_semantics.py","Take paired method-baseline differences within matched target contracts before seed-wise minima; aggregate regret within seed.","Independent minima on different contracts manufacture a worst-case improvement.",REPAIRED_LOCAL_GATE_PASS
SR-13,HIGH,"Documentation, frozen gate specification and PR body","tests/coregraph/test_second_review_documentation.py","Align all method/specification/theory/paper language, freeze V3 gate rules, and update the draft PR after CI.","Stale prose and PR metadata can promote obsolete oracle, capacity or comparator semantics.",REPAIRED_LOCAL_GATE_PASS
