dataset,protocol_id,expert_prediction_seed,fold,expert_id,contract_role,status,reason_codes,candidate_count,unique_candidate_checksums,original_path,original_checksum,contract_coordinate_hash,contract_id
elliptic,strict_inductive,1,fold0,feature_mlp,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,5,,,,
elliptic,strict_inductive,1,fold0,feature_mlp,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,5,,,,
elliptic,strict_inductive,1,fold0,gcn,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,8,6,,,,
elliptic,strict_inductive,1,fold0,gcn,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,8,6,,,,
elliptic,strict_inductive,1,fold0,graphsage,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,9,7,,,,
elliptic,strict_inductive,1,fold0,graphsage,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,9,7,,,,
elliptic,strict_inductive,2,fold0,feature_mlp,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,5,,,,
elliptic,strict_inductive,2,fold0,feature_mlp,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,5,,,,
elliptic,strict_inductive,2,fold0,gcn,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,8,6,,,,
elliptic,strict_inductive,2,fold0,gcn,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,8,6,,,,
elliptic,strict_inductive,2,fold0,graphsage,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,9,7,,,,
elliptic,strict_inductive,2,fold0,graphsage,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,9,7,,,,
elliptic,strict_inductive,3,fold0,feature_mlp,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
elliptic,strict_inductive,3,fold0,feature_mlp,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
elliptic,strict_inductive,3,fold0,gcn,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,5,3,,,,
elliptic,strict_inductive,3,fold0,gcn,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,5,3,,,,
elliptic,strict_inductive,3,fold0,graphsage,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,4,,,,
elliptic,strict_inductive,3,fold0,graphsage,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,4,,,,
elliptic,strict_inductive,4,fold0,feature_mlp,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
elliptic,strict_inductive,4,fold0,feature_mlp,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
elliptic,strict_inductive,4,fold0,gcn,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,5,3,,,,
elliptic,strict_inductive,4,fold0,gcn,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,5,3,,,,
elliptic,strict_inductive,4,fold0,graphsage,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,4,,,,
elliptic,strict_inductive,4,fold0,graphsage,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,6,4,,,,
elliptic,strict_inductive,5,fold0,feature_mlp,source,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
elliptic,strict_inductive,5,fold0,feature_mlp,target,BLOCKED_AMBIGUOUS_HISTORICAL_CANDIDATES,AMBIGUOUS_HISTORICAL_CANDIDATES,3,2,,,,
