dataset,protocol_id,expert_id,expert_prediction_seed,fold,status,indexed_prediction_path,source_archive_path,source_archive_sha256,source_archive_member,result_path,reason_codes,future_run_category
dgraphfin,isolated_inductive,feature_mlp,1,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed1.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed1.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed1,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,2,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed2.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed2.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed2,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,3,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed3.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed3.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed3,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,4,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed4.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed4.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed4,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,5,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed5.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed5.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed5,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,6,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed6.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed6.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed6,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,7,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed7.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed7.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed7,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,8,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed8.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed8.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed8,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,9,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed9.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed9.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed9,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
dgraphfin,isolated_inductive,feature_mlp,10,fold0,INDEX_REFERENCED_FILE_MISSING,kaggleoutputs/dgraphfin_10seed_inductive_isolated/predictions/dgraphfin__inductive_isolated__mlp__seed10.csv,$HISTORICAL_GNN_FRAUD_REPO/kaggleoutputs/dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed10.csv,$HISTORICAL_GNN_FRAUD_REPO/results/runs_rb09v3/runs.csv#dgraphfin:inductive_isolated:mlp:seed10,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,D
