issue_id,severity,affected_files,reproducing_test,repair,scientific_consequence,status
IA-02,CRITICAL,"coregraph/contracts/{axes.py,contract.py,schemas.py,serialization.py}; coregraph/routing/contract_encoder.py","tests/coregraph/test_independent_audit_contracts.py; tests/coregraph/test_independent_audit_coverage_guards.py","Replace overloaded coordinate modes with V3 structured specifications; provide one-way V2 migration plus separate coordinate and artifact/environment hashes.","Collapsed coordinates alias scientifically different deployment environments and invalidate compositional generalisation claims.",REPAIRED_GATE_PASS
IA-03,CRITICAL,"coregraph/experiments/contract_splits.py","tests/coregraph/test_independent_audit_contracts.py; tests/coregraph/test_independent_audit_coverage_guards.py","Propagate target access and selection policy; validate target metadata; derive manifests from targets; keep target atomic IDs unseen.","Split metadata can authorize a different target-information regime than the contract actually encodes.",REPAIRED_GATE_PASS
IA-04,CRITICAL,"coregraph/experts/{base.py,availability.py}","tests/coregraph/test_independent_audit_availability.py","Enforce explicit blocks, device, memory, latency, task, graph, edge-feature, full-graph, licence, and integration states with structured reason codes.","The feasible expert set and resource-aware oracle could otherwise contain experts that cannot legally or operationally run.",REPAIRED_GATE_PASS
IA-05,HIGH,"coregraph/routing/{router.py,diagnostics.py}; coregraph/method.py","tests/coregraph/test_independent_audit_router.py","Add identity/family embeddings, shared and per-expert diagnostics, costs, availability, and contract context; preserve permutation equivariance.","A scorer without expert identity cannot learn expert-specific competence or cost-sensitive routing.",REPAIRED_GATE_PASS
IA-06,CRITICAL,"coregraph/routing/{router.py,fallback.py}","tests/coregraph/test_independent_audit_router.py","Bypass attention for all-unavailable rows and return exact zero weights, -1 selection, exact abstention, finite entropy/compute, and a sentinel blend with finite gradients.","All-masked attention rows can generate NaNs and silently corrupt training or evaluation.",REPAIRED_GATE_PASS
IA-07,CRITICAL,"coregraph/objectives/{scores.py,classification.py,ranking.py,calibration.py,composite.py}; coregraph/routing/diagnostics.py","tests/coregraph/test_independent_audit_scores_abstention_objective.py","Introduce strict PROBABILITY/LOGIT/RANK_SCORE metadata; dispatch compatible losses and conversions; reject incompatible calibration, entropy, and mixtures.","Double sigmoids and probability/logit loss mismatches change the trained objective and invalidate calibration.",REPAIRED_GATE_PASS
IA-08,HIGH,"coregraph/routing/abstention.py; coregraph/objectives/composite.py; coregraph/experiments/pilot.py","tests/coregraph/test_independent_audit_scores_abstention_objective.py; tests/coregraph/test_independent_audit_coverage_guards.py","Implement selective risk, coverage, AURC, cost/capacity, source-validation thresholding, forced abstention, and no-abstention ablation.","An untrained abstention head cannot support selective-risk or deployment-capacity claims.",REPAIRED_GATE_PASS
IA-09,CRITICAL,"coregraph/experiments/pilot.py; coregraph/tasks/base.py; configs/coregraph/schemas/prediction_manifest.schema.json","tests/coregraph/test_independent_audit_manifests_pilot_statistics.py; tests/coregraph/test_independent_audit_coverage_guards.py","Bind artifacts to dataset/task/unit/coordinate/environment/expert/seed/fold/config/code/checksum; validate exact environment-bound groups, aliases, IDs, labels, splits, score domain, and seed coverage.","Pooling artifacts across environments or seeds, or counting aliases, creates pseudoreplication and invalid pairings.",REPAIRED_GATE_PASS
IA-10,CRITICAL,"coregraph/experiments/pilot.py","tests/coregraph/test_independent_audit_manifests_pilot_statistics.py","Implement single experts, feasible average, source-validation best and convex mixture, actual compatibility adapters, learned router baselines, labelled MOWST-inspired reimplementation, and offline oracle.","Placeholder aliases misstate comparator strength and can manufacture or hide a method advantage.",REPAIRED_GATE_PASS
IA-11,CRITICAL,"coregraph/experiments/pilot.py; coregraph/method.py; coregraph/objectives/composite.py; scripts/coregraph/run_saved_output_pilot.py","tests/coregraph/test_independent_audit_manifests_pilot_statistics.py","Separate source train/validation groups; use balanced composite training, real masks/costs/stability/abstention, source-only early stopping, and all required ablations.","Pooled BCE with all-one masks does not train the proposed method and can leak contract prevalence into optimisation.",REPAIRED_GATE_PASS
