family,lane_id,dataset,protocol,model,loss,control,n_seeds,seeds,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,ECE_mean,ECE_std,Precision@0.5%_mean,Precision@0.5%_std,Recall@0.5%_mean,Recall@0.5%_std,Precision@1%_mean,Precision@1%_std,Recall@1%_mean,Recall@1%_std,Precision@2%_mean,Precision@2%_std,Recall@2%_mean,Recall@2%_std,Precision@100_mean,Precision@100_std,Recall@100_mean,Recall@100_std,Precision@500_mean,Precision@500_std,Recall@500_mean,Recall@500_std,Precision@1000_mean,Precision@1000_std,Recall@1000_mean,Recall@1000_std
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,gcn,default,,10,1 2 3 4 5 6 7 8 9 10,0.01171,0.003382,0.51741,0.109341,0.01671,0.014168,,,,,,,0.00676,0.007447,0.00616,0.006838,,,,,0.004,0.008433,0.00022,0.000464,0.007,0.008498,0.00186,0.002296,0.0073,0.009417,0.00392,0.005079
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,gcn,focal,,10,1 2 3 4 5 6 7 8 9 10,0.0119,0.003402,0.52234,0.108886,0.01696,0.014337,,,,,,,0.00723,0.008068,0.00659,0.007398,,,,,0.004,0.008433,0.00022,0.000464,0.0068,0.008443,0.0018,0.002279,0.0072,0.00939,0.00386,0.005063
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,gcn,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.01183,0.003381,0.52091,0.109177,0.017,0.014347,,,,,,,0.00682,0.007567,0.00621,0.006944,,,,,0.004,0.008433,0.00022,0.000464,0.0064,0.007706,0.00169,0.002086,0.0072,0.00939,0.00386,0.005063
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,mlp,default,,10,1 2 3 4 5 6 7 8 9 10,0.01424,0.006039,0.53659,0.178716,0.02288,0.018331,,,,,,,0.01608,0.012305,0.01471,0.011269,,,,,0.004,0.005164,0.0002,0.000258,0.0116,0.008733,0.00311,0.002342,0.0141,0.009574,0.00757,0.005135
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,mlp,focal,,10,1 2 3 4 5 6 7 8 9 10,0.01546,0.006499,0.56287,0.177966,0.02315,0.018259,,,,,,,0.01842,0.013096,0.01685,0.011985,,,,,0.005,0.007071,0.00026,0.000378,0.0136,0.009371,0.00364,0.002513,0.016,0.011333,0.00859,0.006073
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,mlp,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.01398,0.006305,0.52554,0.176871,0.02358,0.01918,,,,,,,0.01607,0.012424,0.01469,0.011367,,,,,0.005,0.007071,0.00026,0.000378,0.0128,0.008854,0.00343,0.002369,0.014,0.010231,0.00752,0.005488
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,sage,default,,10,1 2 3 4 5 6 7 8 9 10,0.01625,0.004127,0.62552,0.127347,0.03141,0.013943,,,,,,,0.01315,0.006151,0.01203,0.005624,,,,,0.009,0.011005,0.00048,0.000594,0.0126,0.008113,0.00339,0.002176,0.0132,0.007613,0.00708,0.004076
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,sage,focal,,10,1 2 3 4 5 6 7 8 9 10,0.02023,0.001911,0.70344,0.017795,0.03168,0.011367,,,,,,,0.01939,0.007564,0.01772,0.006921,,,,,0.018,0.019322,0.00098,0.001044,0.0198,0.011679,0.00531,0.00313,0.0201,0.01006,0.01079,0.005401
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,sage,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.01781,0.003713,0.65789,0.116913,0.03486,0.0134,,,,,,,0.01503,0.005759,0.01374,0.005256,,,,,0.016,0.018974,0.00086,0.001016,0.0148,0.008066,0.00398,0.002162,0.0143,0.007196,0.00767,0.003868
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,gcn,default,,10,1 2 3 4 5 6 7 8 9 10,0.01166,0.002251,0.52998,0.064608,0.01615,0.012761,,,,,,,0.00705,0.007986,0.00645,0.007304,,,,,0.003,0.006749,0.00016,0.000366,0.006,0.006928,0.00161,0.001867,0.0063,0.006717,0.00337,0.003601
