family,lane_id,dataset,protocol,model,loss,control,n_seeds,seeds,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,ECE_mean,ECE_std,Precision@0.5%_mean,Precision@0.5%_std,Recall@0.5%_mean,Recall@0.5%_std,Precision@1%_mean,Precision@1%_std,Recall@1%_mean,Recall@1%_std,Precision@2%_mean,Precision@2%_std,Recall@2%_mean,Recall@2%_std,Precision@100_mean,Precision@100_std,Recall@100_mean,Recall@100_std,Precision@500_mean,Precision@500_std,Recall@500_mean,Recall@500_std,Precision@1000_mean,Precision@1000_std,Recall@1000_mean,Recall@1000_std
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,mlp,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.01103,0.00032,0.49905,0.005382,0.01883,0.006527,,,,,,,0.01286,0.003794,0.01177,0.003478,,,,,0.018,0.011353,0.00095,0.000617,0.0126,0.007306,0.00338,0.001958,0.0122,0.006391,0.00654,0.003436
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,mlp,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.0138,0.005768,0.52935,0.173982,0.02238,0.017652,,,,,,,0.01525,0.011317,0.01395,0.010364,,,,,0.004,0.005164,0.0002,0.000258,0.011,0.00834,0.00295,0.00224,0.0133,0.008982,0.00714,0.004818
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,sage,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.01162,0.000919,0.52466,0.027154,0.01702,0.009232,,,,,,,0.01122,0.002978,0.01027,0.002713,,,,,0.006,0.008433,0.00032,0.000459,0.0108,0.004341,0.0029,0.001162,0.0107,0.003268,0.00576,0.001761
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,inductive_isolated,sage,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.01507,0.004641,0.58932,0.147338,0.02812,0.013536,,,,,,,0.01197,0.006076,0.01095,0.005574,,,,,0.009,0.011005,0.00048,0.000594,0.012,0.008641,0.00322,0.002312,0.0125,0.00759,0.00671,0.004062
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,mlp,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.01103,0.00032,0.49905,0.005382,0.01883,0.006527,,,,,,,0.01286,0.003794,0.01177,0.003478,,,,,0.018,0.011353,0.00095,0.000617,0.0126,0.007306,0.00338,0.001958,0.0122,0.006391,0.00654,0.003436
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,mlp,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.0138,0.005768,0.52935,0.173982,0.02238,0.017652,,,,,,,0.01525,0.011317,0.01395,0.010364,,,,,0.004,0.005164,0.0002,0.000258,0.011,0.00834,0.00295,0.00224,0.0133,0.008982,0.00714,0.004818
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,sage,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.01275,0.001447,0.53793,0.03449,0.01977,0.010046,,,,,,,0.01579,0.003777,0.01444,0.003439,,,,,0.018,0.015492,0.00095,0.00084,0.0156,0.006915,0.00416,0.001861,0.015,0.004853,0.00805,0.002621
RB29,RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,sage,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.0182,0.006384,0.61851,0.149935,0.03127,0.01382,,,,,,,0.01978,0.01099,0.01809,0.010062,,,,,0.014,0.011738,0.00075,0.000635,0.0166,0.010793,0.00444,0.002905,0.0171,0.009678,0.00917,0.00519
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,mlp,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.06613,0.002546,0.50247,0.011352,0.09239,0.042701,,,,,,,0.07246,0.021022,0.01119,0.003251,,,,,0.07,0.024037,0.00646,0.002228,0.0662,0.015186,0.03057,0.006994,0.065,0.005617,0.06001,0.00519
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,mlp,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.07744,0.038547,0.54687,0.136134,0.0991,0.077434,,,,,,,0.02456,0.04153,0.00378,0.006407,,,,,0.034,0.058727,0.00313,0.005418,0.0312,0.044614,0.01439,0.020593,0.0423,0.075779,0.03905,0.069975
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,sage,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.09943,0.003325,0.6368,0.010672,0.14718,0.056511,,,,,,,0.09042,0.025308,0.01396,0.003909,,,,,0.077,0.03164,0.00711,0.002937,0.1012,0.0123,0.04672,0.005664,0.1085,0.007487,0.10018,0.006913
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,sage,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.10365,0.033144,0.63325,0.091504,0.05634,0.108969,,,,,,,0.08563,0.097807,0.01319,0.015093,,,,,0.074,0.127993,0.00682,0.011832,0.0924,0.071764,0.04266,0.03312,0.1137,0.08961,0.105,0.082756
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,mlp,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.06613,0.002546,0.50247,0.011352,0.09239,0.042701,,,,,,,0.07246,0.021022,0.01119,0.003251,,,,,0.07,0.024037,0.00646,0.002228,0.0662,0.015186,0.03057,0.006994,0.065,0.005617,0.06001,0.00519
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,mlp,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.07744,0.038547,0.54687,0.136134,0.0991,0.077434,,,,,,,0.02456,0.04153,0.00378,0.006407,,,,,0.034,0.058727,0.00313,0.005418,0.0312,0.044614,0.01439,0.020593,0.0423,0.075779,0.03905,0.069975
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,sage,weighted_bce,feature_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.07487,0.009796,0.54101,0.04494,0.04181,0.03597,,,,,,,0.07426,0.015755,0.01145,0.002418,,,,,0.075,0.027183,0.00692,0.002506,0.0806,0.021062,0.03721,0.009717,0.0785,0.023306,0.07247,0.021508
RB29,RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,sage,weighted_bce,label_shuffle,10,1 2 3 4 5 6 7 8 9 10,0.07576,0.028177,0.5466,0.119365,0.03224,0.053352,,,,,,,0.0521,0.082553,0.00803,0.012745,,,,,0.058,0.096701,0.00534,0.008917,0.0446,0.066273,0.02059,0.030611,0.055,0.054985,0.0508,0.050773
