path,size_bytes,file_count,purpose,classification,include_in_git,manifest_only,exclude,justification,risk_level,largest_files,private_path_or_mount_name_in_path,credential_like_filename_present,final_paper_relationship,future_iclr_relationship
.DS_Store,98308,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,.DS_Store (98308 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.claude,851569021,272,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,.claude/worktrees/zealous-leakey-fb8a45/data/_pyg_elliptic/raw/elliptic_txs_features.csv (689683771 B); .claude/worktrees/zealous-leakey-fb8a45/data/_pyg_elliptic/processed/data.pt (140277004 B); .claude/worktrees/zealous-leakey-fb8a45/data/_pyg_elliptic/raw/elliptic_txs_edgelist.csv (4470584 B); .claude/worktrees/zealous-leakey-fb8a45/data/_pyg_elliptic/raw/elliptic_txs_classes.csv (3305144 B); .claude/worktrees/sharp-lovelace-12929d/gnnpaper/main.pdf (2280152 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.cursor,69,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,.cursor/settings.json (69 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.git,0,0,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,,False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.github,8040,3,"Candidate source, tests, documentation, manuscript, or lightweight configuration.",canonical candidate,allowlist only,no,partial,"Audit active imports, final manifests, and clean-room commands before inclusion.",medium,.github/.DS_Store (6148 B); .github/workflows/ci.yml (1374 B); .github/workflows/fraudshiftbench_audit.yml (518 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.gitignore,2407,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,.gitignore (2407 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.pytest_cache,110941,7,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,.pytest_cache/v/cache/nodeids (98031 B); .pytest_cache/v/.DS_Store (6148 B); .pytest_cache/.DS_Store (6148 B); .pytest_cache/README.md (302 B); .pytest_cache/CACHEDIR.TAG (191 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.python-version,8,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,.python-version (8 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
.ruff_cache,149812,124,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,.ruff_cache/0.15.18/8479459665940656392 (15108 B); .ruff_cache/0.15.18/10336496968712666541 (12122 B); .ruff_cache/0.15.18/9867715810964579290 (7493 B); .ruff_cache/0.15.18/773452304437813056 (7493 B); .ruff_cache/0.15.18/12219087668834048582 (7493 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
AGENTS.md,8089,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,AGENTS.md (8089 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
