run_key,campaign,analysis_family,dataset,task,source_contract,target_contract,method,objective,seed,access_regime,hardware,resource_class,runtime_status,prerequisite,execution_status
0a684d6fd379e5e646c5,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,best_single_feasible,composite,0,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
4f6b0ae02117a71aa0af,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,best_single_feasible,composite,1,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
28537cc02c4941a58887,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,best_single_feasible,composite,2,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
029bf71414993a9f29a6,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,best_single_feasible,composite,3,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
1bb7eb9b148c24ee7994,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,best_single_feasible,composite,4,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
c7bdd90101c8046a63c8,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,equal_mixture,composite,0,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
163697526cee680ea4bf,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,equal_mixture,composite,1,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
86a95c6246bd16767088,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,equal_mixture,composite,2,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
51f0a78ca790a77120e9,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,equal_mixture,composite,3,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
1541c309532791755d1b,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,equal_mixture,composite,4,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
5d8c95cd8e4a6ef53cfc,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,graphsafe_feature,composite,0,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
ee7a36e34a041e42b3b9,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,graphsafe_feature,composite,1,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
e0dfa2f8b474dbfcaa53,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,graphsafe_feature,composite,2,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
109a1edd8eb104f7f336,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,graphsafe_feature,composite,3,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
610827fe4e6f9469efaa,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,graphsafe_feature,composite,4,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
79500737c48654dfd971,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,fraudshift_current_gate,composite,0,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
ed19d418df0863e67cdd,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,fraudshift_current_gate,composite,1,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
12f7820e0932f4cc9a76,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,fraudshift_current_gate,composite,2,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
cd1d5b09aa320db83400,screening_5seed,method_screening,elliptic_v2,node_classification,historical_transductive_full,future_inductive_full,fraudshift_current_gate,composite,3,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,local_and_data_gates,PLANNED
