run_key,campaign,analysis_family,dataset,task,source_contract,target_contract,method,objective,seed,access_regime,hardware,resource_class,runtime_status,prerequisite,execution_status
f82cb5433037ce566e9b,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,0,DG_NO_TARGET,cpu,CPU,TBD_PROFILE,hardware_profile,PLANNED
eee0383ad0407715197d,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,1,DG_NO_TARGET,cpu,CPU,TBD_PROFILE,hardware_profile,PLANNED
afc911d1ad4b175c4731,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,2,DG_NO_TARGET,cpu,CPU,TBD_PROFILE,hardware_profile,PLANNED
dc0fadbd94ad2794335c,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,3,DG_NO_TARGET,cpu,CPU,TBD_PROFILE,hardware_profile,PLANNED
d6161aae55a1ad35dbc6,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,4,DG_NO_TARGET,cpu,CPU,TBD_PROFILE,hardware_profile,PLANNED
f82cb5433037ce566e9b,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,0,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,hardware_profile,PLANNED
eee0383ad0407715197d,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,1,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,hardware_profile,PLANNED
afc911d1ad4b175c4731,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,2,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,hardware_profile,PLANNED
dc0fadbd94ad2794335c,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,3,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,hardware_profile,PLANNED
d6161aae55a1ad35dbc6,resource,budget_resource,elliptic_v2,node_classification,historical_transductive_full,future_budget_topk,coregraph_factorised_diagnostics,budget_composite,4,DG_NO_TARGET,single_t4,T4_16GB,TBD_PROFILE,hardware_profile,PLANNED
