dataset,task,protocol,expert,seed,fold,base_coordinate_id,base_artifact_hash,role,archive,archive_expected_sha256,member,member_sha256,size_bytes,row_count,label_known_count,semantic_identity_sha256,row_scope,status
dgraphfin,node_classification,isolated_inductive,feature_mlp,1,fold0,675638befa2d945be57bc01fb298623ad278449f8a5343a23d7a623d0d04652a,0d10290fde5d7307cb52dfa58c6a6d946333f17450d1d4f047f4cd6d39830535,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed1.csv,c44e5b090f3eed2b628bbd28e3a504002d871d64d68e245b41b01f6f34ffacdd,187148736,1225601,1225601,bb4a2799af0ea95974b1d655cf3fc5b2b1139a6a52404506fcb5770317c64d3f,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,2,fold0,67336dcaa82c7029c86a3c94d6b4908ff38db51574da609b41e8b3aa30534d72,213e225da1faf1f3ff63aa74c46cda6fd31de6108916fbf22a7a1a0007c9a844,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed2.csv,6e8e7a0b681978f6bf0cb38d6efffe8424e5fe69e8ccc84d12ae5d705a1d279d,187149918,1225601,1225601,b2b094117860711f7a4173be83d5313ea9312e548096b4cf2a8b75fd808ae9dc,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,3,fold0,e375af8b19798adc731f5c9aa462d9a3c50957e0d731036ac29f1c84ca1af9fe,687ceac32263be016c1c469c56517e2dbcaccbfd9778cf449af0d4a25a11afa2,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed3.csv,3c1e6ce34b86bb9c6412a818e017b9cda1e3d34aa1032a93126df8c6b66a61ec,187123905,1225601,1225601,6b6fc87c698d7c12b276ebd487a1f0f02a8e964fb70b26884fe261866ada0d1b,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,4,fold0,db3fd0a87d762d29536659033e5f7513ec1e9322508833a7e5d9a456e25b2a25,600fb8d97bf42f7484f5e9b05dcd75cd410e424c08da9a6626ced8586075173b,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed4.csv,4ad6a7f00c320dbb24e80cfbd91f6de11f66eea61d1269f2d802ac40e67f33dd,187054623,1225601,1225601,61bbc3e67dd8aeb7b04ffc3b4e478116086b329baae8f4bd6f01f293426a7951,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,5,fold0,e4c6cbc7bee75edd8fa43c93a103644002e2a6d3f9e4b785bb7729d236d5a59f,7e3e993606848b4643eb41f547ff64bae0fbe40da44faba540f36dd326c2475e,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed5.csv,0eb820c865caf974ebbd73b17c2e58b8fb724d3af905325aab548205ce45a792,187072389,1225601,1225601,97b1f17dd85983ed1d244e0322f9a2aa8baeab19cfbb8cd74b20b36c0e4ceb8a,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,6,fold0,757e88ee61b20d96ec7d16efd96a6d512ae6baab0d48d4ef6f6da516f07a50ef,89ccd7b7fd280b297f7c20d37c47263d978e89b5084ece0fcebd7788f5e306ae,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed6.csv,6fdd1e3ed14630045684dda3eee8ce15ce6d96d84e9049ab2e1c87febe9af401,186989198,1225601,1225601,7a130744740bcf16354cb1219874c45104cd1f03e052d2d371d9e78037399316,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,7,fold0,3ad42754e59f2d60175def7386ea20bbe6dc6be614e07da53e9faa4a1911321a,cb2edcb7060c507cac9f1bc1f5fb9457c020ffadd9619d277a017049da0520fb,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed7.csv,252a03ce8c3edf82c7aecddff23ef30066a08c2d60be0259b385ad8ba2525d03,187068595,1225601,1225601,7ec1d6093c5fa04828f1f9f5271fcf4f8ab0525fdc54573f15afd31ae8eaa071,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,8,fold0,b5fc3f6aec88ab25e47ab0a78e06b2ad3554e6af829288c7d8ceb4d71d5e1093,aa7f8bb692a94d685b9fcfabcdcf7eea1596f68f3955cd8d56c984cdc3e70ab8,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed8.csv,dbc1e8b296a54c1190e5f68b49fcacf03d72782e7b36235008907171eff1984b,186980402,1225601,1225601,026c8a53d962fafc8bebcd4242215aa434d76d8b95e946b4dff0c4a1f5cea3cb,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,9,fold0,9b49543f519d6cfd9c2014da22d81dae40805a3dbcd828832e03bd49edcfd580,5ef6d82b8717c97b325efa50fd4151fba72c2a967e90af18c6f7f1f6de65f325,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed9.csv,a927a17e1982e2e888306b5f47eb591fb65c7fbd5e0c45277ad853129b931c86,187141072,1225601,1225601,3ec4c5de2a7600f91a61cef95476e1c49e9a7b5792aca0df2c2155dec902d58e,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,feature_mlp,10,fold0,b61264bc90609377cc258b2dc1fcc3443d9b0b818c25e4542445e28bb33d92fe,0e53aa1809a983852b72509f04e50c512f2cda0f0923d66f596575d02d32702c,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__mlp__seed10.csv,79d6f4ee1ad5b6f1ec916fd92e369d7eae8a833acd05fe615a6a39590d736e86,189574248,1225601,1225601,9fc30c1daee333459a2f121034ffd755ccf374265a42e050b930c70b88f3b25b,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,gcn,1,fold0,f5efa4a18a06de39243394e0dbdedeb38a833f97248b00295792d3f542c38e51,4bc6b3a16e68438cecff639da060f110600546def968e24e42df3206a9135011,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__gcn__seed1.csv,5588a237bcd91cd61e503fbc0cca11b5141e29904e9829f18a1fb831f6d19087,187109745,1225601,1225601,bb4a2799af0ea95974b1d655cf3fc5b2b1139a6a52404506fcb5770317c64d3f,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,gcn,2,fold0,90a9e590fdf87a2e0b6f2aee4cbe41aad2849139444692ba7effbe8244df5ad6,e01c9f346d21931395d2d871b90d04c655d49b756c279e205221049fce572987,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__gcn__seed2.csv,313599e0b721aa84ec712b5aa22eaa56ec7d3ff1e742060a6d0bf4a4e3f4ca7b,187090656,1225601,1225601,b2b094117860711f7a4173be83d5313ea9312e548096b4cf2a8b75fd808ae9dc,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,gcn,3,fold0,eed27bc27f9669b6d83ac03b3312175a4807c3834fe6247dd7d21ea60b1a8de2,b07ca2712c8ec99ff7ecd9fba5f212dcaedb0fb42957e6255a53eabc620c7b3e,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__gcn__seed3.csv,d2f429e336c8a4d5c898eee9b70de067aefd677c99b292d3b855b5f728bc4b2d,187103086,1225601,1225601,6b6fc87c698d7c12b276ebd487a1f0f02a8e964fb70b26884fe261866ada0d1b,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,gcn,4,fold0,b395751d36deecf4edef87799c4995fbe2c727b5d7637ccb4602d9ee05038e01,d90aff2e940e0c2e1fb479f750c3b96ce8476429b12dbc5f11fec6449232d5ad,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__gcn__seed4.csv,66e30f07d03713bc3c00cc86e3112d0cea855cc8d94b99fda4630d2867ef2387,187091746,1225601,1225601,61bbc3e67dd8aeb7b04ffc3b4e478116086b329baae8f4bd6f01f293426a7951,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
dgraphfin,node_classification,isolated_inductive,gcn,5,fold0,2959d76f2e1606072d5372a01e191711843df460020c58490fce480967410829,b0ccd8293ba0c8145c3e06746c76d74326c3b9d9f419f77922c906d102162a88,ROLE_NEUTRAL,dgraphfin_10seed_inductive_isolated.zip,6ce0d2e37893a7a162d6d575347f6606eb63f90b7940cc3a259dc309cf88b8c8,predictions/dgraphfin__inductive_isolated__gcn__seed5.csv,a576b3064e9df3f6e54bb501498d716c22b861959707fcf1d9bc3c4e6c7d4170,187106539,1225601,1225601,97b1f17dd85983ed1d244e0322f9a2aa8baeab19cfbb8cd74b20b36c0e4ceb8a,"{""test"":170207,""train"":947462,""validation"":107932}",VERIFIED_ROLE_NEUTRAL_BASE_ARTIFACT
