object_id,object_type,latex_label,caption_title,document,source_tex,generation_script,source_data_files,provenance_checksum_record,current_pdf_page,float_type,orientation,physical_width_in,physical_height_in,estimated_text_size_pt,row_count,column_count,caption_word_count,scientific_question,claim_ids,metrics,seed_scope,protocol_scope,feasibility_set,uncertainty,redundancy,visual_defects,scientific_communication_defects,page_utilization,print_readability,grayscale_readability,final_disposition,planned_replacement,final_destination
M-F01,figure,fig:deployment-contract,Deployment-contract framework,main,paper_tkde/sections/04_deployment_claim_contracts.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/DEPLOYMENT_CONTRACT_AXES.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,4,figure*,portrait,7.16,3.05,5.7-8.5,n/a,n/a,2,How does a contract become typed evidence and a scoped claim?,C18-C22,n/a,n/a,all,n/a,n/a,none,slide-like pastel boxes; dense prose; small status labels,administrative flow dominates quantitative paper,page 4: high,requires close reading,status palette loses distinctions,REDESIGN,Compact six-coordinate band plus minimal contract-to-evidence-to-claim flow and labeled status key.,main
M-F02,figure,fig:protocol-effects,Protocol and architecture sensitivity,main,paper_tkde/sections/07_results_protocol_architecture.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/RB09_AUPRC_MAIN.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,8,figure*,portrait,7.16,3.00,6.2-8.2,n/a,n/a,4,How does strict-to-isolated visibility change AUPRC by model and dataset?,C01-C04,AUPRC,1-10 paired,strict-inductive vs isolated-inductive,complete 2 datasets x 3 models,deterministic 95% bootstrap CI,none,labels below V2 floor,none,embedded in prose,readable,model lines remain distinguishable but color is helpful,KEEP_WITH_MINOR_EDIT,"Retain forest/slope structure with 8 pt typography, redundant markers, and tighter caption.",main
M-F03,figure,fig:ibm-results,"IBM metric, scale, and construction grid",main,paper_tkde/sections/08_results_construction_decisions.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/IBM_CELL_SUMMARY.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,10,figure*,portrait,7.16,5.10,5.8-8.2,n/a,n/a,6,"How do IBM configurations vary by metric, scale, regime, and protocol?",C05-C14,AUPRC; AUROC; F1,1-10,early-to-late; late-window,V27/V28; GINE Small only,deterministic 95% bootstrap CI,none,six crowded panels; small labels; color-dependent regimes,baseline and construction questions are conflated,embedded in prose,requires zoom,regime/configuration distinctions weaken,REPLACE_WITH_DIFFERENT_VISUAL_FORM,Readable two-panel IBM baseline-family AUPRC comparison; construction effects move to the matched multi-metric figure/table.,main
M-F04,figure,fig:rank-divergence,Rank-versus-decision divergence,main,paper_tkde/sections/08_results_construction_decisions.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv; results/tkde_rebuild/IBM_METRIC_RANKS.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,11,figure*,portrait,7.16,3.20,6.3-8.2,n/a,n/a,2,When do AUPRC and fixed-threshold F1 rank the same feasible set differently?,C11-C14,AUPRC rank; F1 rank; Spearman rho,means over seeds 1-10,IBM early-to-late; late-window,exact baseline/graph grid per cell,descriptive ranks,none,many categorical colors,none,embedded in prose,readable,not color dependent,KEEP_WITH_MINOR_EDIT,Retain direct rank comparison with grayscale-first styling and repaired source schema.,main
M-F05,figure,fig:ablation-effects,Matched IBM construction effects,main,paper_tkde/sections/08_results_construction_decisions.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,11,figure*,portrait,7.16,2.85,6.8-8.2,n/a,n/a,4,Which matched constructions change IBM performance relative to h64?,C08-C10; C13,AUPRC only,10 seed blocks; 4 contexts averaged within seed,both IBM protocols,Small and Medium separated; GINE Small only,95% CI; Holm status,none,right title clipped; AUPRC-only view hides stated metric tradeoffs,none,embedded in prose,readable,not color dependent,REDESIGN,"Two-panel multi-metric forest showing AUPRC, AUROC, and F1 deltas with significance and feasibility encoded redundantly.",main
M-F06,figure,fig:runtime-pareto,Runtime and resource Pareto view,main,paper_tkde/sections/08_results_construction_decisions.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/IBM_RUNTIME_FEASIBILITY.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,12,figure*,portrait,7.16,5.00,6.1-8.2,n/a,n/a,5,What performance-runtime tradeoffs are measured within compatible IBM cells?,C10; C14; C20,AUPRC; elapsed seconds; Pareto status,1-10,IBM early-to-late; late-window,variant-protocol matched; blocked cells nonnumeric,AUPRC SD; runtime min-max,none,large legend; crowded points; color-only configurations,none,embedded in prose,readable,not color dependent,REDESIGN,"Grayscale-first four-cell Pareto view with only reference, GINE, Pareto, and blocked states emphasized.",main
M-F07,figure,fig:claim-validation,Claim-support validation,main,paper_tkde/sections/09_framework_validation_graphsafe.tex,scripts/tkde_rebuild/make_figures.py,results/tkde_rebuild/FRAMEWORK_VALIDATION_CASES.csv,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,13,figure*,portrait,7.16,3.00,6.0-8.2,n/a,n/a,2,Do controlled claim/evidence mutations produce the specified support statuses?,C18-C22,14/14 status matches,case-specific,validator fixtures,all 14 designed cases,none; conformance suite,none,administrative flowchart; hard-coded text; only subset shown,caption says 14 although diagram depicts selected cases,page 13: dominant,readable,pastel categories weaken,REPLACE_WITH_DIFFERENT_VISUAL_FORM,Data-driven expected-versus-observed status matrix plus compact mutation-family counts.,main
M-T01,table,tab:related-comparison,Positioning against benchmark families,main,paper_tkde/tables/table01_related_work.tex,scripts/tkde_rebuild/build_tables.py,code-authored; results/tkde_rebuild/LITERATURE_MATRIX.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,4,table*,portrait,7.16,auto,~7,6,8,4,Which novelty distinctions remain after related-work comparison?,C18,n/a,n/a,all scoped contracts,n/a,n/a,none,eight dense text columns,multiword cells require small type,embedded in prose,small at print scale,not color dependent,REDESIGN,"Compact symbol matrix over temporal, graph-contract, capacity, resource, prediction, and executable-support distinctions.",main
M-T02,table,tab:datasets,Dataset and task summary,main,paper_tkde/tables/table02_dataset_tasks.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,6,table*,portrait,7.16,auto,~7,6,9,4,Why are task units and values not pooled across datasets?,C01-C14,counts; prevalence,n/a,all evaluated,real Elliptic/DGraphFin; IBM Small/Medium; Large blocked,n/a,none,nine columns at scriptsize,none,embedded in prose,small at print scale,not color dependent,REDESIGN,"Readable task-card summary with unit, temporal extent, prior, graph/features, protocol, and empirical/resource scope.",main
M-T03,table,tab:models,Model and construction inventory,main,paper_tkde/tables/table03_model_constructions.tex,scripts/tkde_rebuild/build_tables.py,code-authored; results/tkde_rebuild/MODEL_CONSTRUCTION_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,6,table*,portrait,7.16,auto,~7,8,4,4,What models and graph controls instantiate the benchmark?,C01-C14,n/a,n/a,all scoped contracts,n/a,n/a,none,dense prose cells,detail competes with central protocol table,embedded in prose,small at print scale,not color dependent,MOVE_MAIN_TO_SUPPLEMENT,Role-specific model and construction cards in the supplement; replace main float with a protocol/visibility matrix.,supplement
